"date","Maharashtra/Ahmednagar","Maharashtra/Akola","Maharashtra/Amravati","Maharashtra/Aurangabad","Maharashtra/Beed","Maharashtra/Bhandara","Maharashtra/Buldhana","Maharashtra/Chandrapur","Maharashtra/Dhule","Maharashtra/Gadchiroli","Maharashtra/Gondia","Maharashtra/Hingoli","Maharashtra/Jalgaon","Maharashtra/Jalna","Maharashtra/Kolhapur","Maharashtra/Latur","Maharashtra/Mumbai","Maharashtra/Nagpur","Maharashtra/Nanded","Maharashtra/Nandurbar","Maharashtra/Nashik","Maharashtra/Osmanabad","Maharashtra/Other State","Maharashtra/Palghar","Maharashtra/Parbhani","Maharashtra/Pune","Maharashtra/Raigad","Maharashtra/Ratnagiri","Maharashtra/Sangli","Maharashtra/Satara","Maharashtra/Sindhudurg","Maharashtra/Solapur","Maharashtra/Thane","Maharashtra/Unknown","Maharashtra/Wardha","Maharashtra/Washim","Maharashtra/Yavatmal"
"2020-06-10"," ##.## %"," ##.## %","-50.00 %"," 79.59 %","","","-50.00 %","   .00 %"," 51.72 %","","","   .00 %"," ##.## %"," ##.## %","-95.45 %"," ##.## %"," 54.38 %"," 59.26 %"," ##.## %"," ##.## %","-35.29 %","   .00 %","-33.33 %"," 47.83 %","   .00 %"," 69.90 %"," 92.31 %","-57.14 %","-20.00 %"," 27.78 %","-82.35 %","-69.39 %"," 22.80 %",""," 50.00 %","   .00 %"," ##.## %"
"2020-06-11","-60.00 %"," 32.35 %"," ##.## %"," 51.14 %","   .00 %","   .00 %"," ##.## %","-66.67 %","-84.09 %","   .00 %","   .00 %","   .00 %","-43.88 %",""," ##.## %","-37.50 %"," -9.51 %"," ##.## %"," ##.## %","-75.00 %"," -4.55 %","","","  1.96 %",""," 42.94 %","-18.67 %","","-12.50 %","-13.04 %"," ##.## %"," ##.## %"," 45.97 %","",""," ##.## %","-50.00 %"
"2020-06-12","-50.00 %"," 15.56 %"," ##.## %"," 13.53 %","   .00 %","-75.00 %"," ##.## %",""," 71.43 %","   .00 %",""," 20.00 %"," ##.## %","   .00 %"," 50.00 %"," 60.00 %"," -3.67 %","-43.18 %"," 50.00 %"," ##.## %"," -7.14 %","   .00 %",""," ##.## %","   .00 %","-16.18 %"," 22.95 %","   .00 %"," 71.43 %","-20.00 %","-75.00 %","-55.79 %","-20.33 %","","","   .00 %","-50.00 %"
"2020-06-13"," ##.## %","-78.85 %","-21.43 %","-31.79 %"," 66.67 %"," ##.## %","","","","-66.67 %","   .00 %","","-46.55 %","-68.00 %"," 83.33 %","-62.50 %","  1.02 %","-74.00 %","",""," 71.79 %","   .00 %","","-22.75 %",""," 10.53 %"," -6.67 %","-90.00 %"," 16.67 %","-12.50 %","-33.33 %"," ##.## %"," 12.96 %","",""," ##.## %"," ##.## %"
"2020-06-14","-55.56 %"," ##.## %","-18.18 %","  4.85 %","-80.00 %","","-42.86 %","   .00 %","   .00 %","","   .00 %","-75.00 %","-25.81 %"," 75.00 %","-81.82 %"," ##.## %","  1.09 %"," ##.## %","   .00 %",""," 22.39 %","   .00 %","-50.00 %","-32.52 %","   .00 %","  4.76 %"," 24.29 %","","-71.43 %","-28.57 %","","-30.51 %","-10.31 %","","","-46.67 %","   .00 %"
"2020-06-15"," 75.00 %","-83.87 %","-22.22 %","  9.26 %","","   .00 %",""," ##.## %","   .00 %","","   .00 %","   .00 %"," 17.39 %","-42.86 %"," ##.## %","-61.54 %","-23.51 %","  6.45 %","-80.65 %"," ##.## %","-12.20 %"," 33.33 %"," ##.## %"," 36.36 %","","-49.13 %","-26.44 %","   .00 %"," ##.## %"," 10.00 %","   .00 %","-15.85 %","-15.76 %","","","-50.00 %"," 80.00 %"
"2020-06-16","-71.43 %"," ##.## %"," ##.## %","-39.83 %"," ##.## %","   .00 %","   .00 %","-66.67 %","-62.50 %",""," ##.## %",""," 20.99 %"," 87.50 %","-88.57 %"," 40.00 %","-12.37 %"," 93.94 %","","-66.67 %"," 31.94 %","-75.00 %","-50.00 %","-22.00 %","   .00 %"," 99.57 %","-37.50 %","-76.74 %","-57.14 %","-27.27 %",""," -4.35 %"," -8.59 %","","","",""
"2020-06-17","-50.00 %"," ##.## %"," 42.86 %"," 45.07 %",""," ##.## %","-84.62 %"," ##.## %","  6.67 %","   .00 %","  7.14 %","   .00 %","-43.88 %"," 26.67 %","-75.00 %"," 42.86 %"," 45.35 %","-70.31 %","   .00 %",""," -8.42 %"," ##.## %"," 25.00 %","-16.24 %","   .00 %","-22.81 %"," ##.## %"," 40.00 %"," 33.33 %"," ##.## %","   .00 %","-46.97 %"," 40.77 %","","","   .00 %","   .00 %"
"2020-06-18"," ##.## %","-44.90 %","-95.00 %","   .97 %","   .00 %"," ##.## %"," ##.## %","-80.00 %","-87.50 %","   .00 %","-93.33 %",""," 72.73 %","-73.68 %"," ##.## %","-70.00 %"," -5.22 %"," 31.58 %","-91.30 %",""," 35.63 %","   .00 %","-20.00 %"," 65.31 %",""," ##.## %","  4.21 %"," -7.14 %","-50.00 %","-65.22 %"," 50.00 %"," ##.## %"," 10.37 %","","","","-66.67 %"
"2020-06-19","   .00 %","-29.63 %"," ##.## %"," -3.85 %",""," ##.## %","-44.44 %","   .00 %"," ##.## %","   .00 %","",""," -8.42 %"," 60.00 %","-50.00 %"," ##.## %"," -1.86 %"," 48.00 %"," ##.## %","   .00 %"," 77.12 %","   .00 %"," 75.00 %","  8.64 %",""," -6.13 %","  2.02 %","-84.62 %","-83.33 %"," ##.## %","","-26.76 %","  1.51 %","","   .00 %","   .00 %"," ##.## %"
"2020-06-20"," ##.## %","   .00 %","-42.11 %","  9.00 %","-60.00 %","","-60.00 %","","-69.23 %"," ##.## %","","   .00 %","-25.29 %"," ##.## %"," ##.## %","-62.50 %"," -5.85 %"," ##.## %"," 60.00 %","","-42.58 %","-40.00 %","-57.14 %"," 11.36 %","   .00 %","-17.33 %"," 30.69 %"," ##.## %"," ##.## %","-31.58 %","   .00 %"," 25.00 %"," 25.43 %","",""," ##.## %","-33.33 %"
"2020-06-21","-41.67 %"," 26.32 %"," ##.## %"," 16.51 %"," ##.## %","   .00 %"," ##.## %",""," ##.## %"," ##.## %","",""," 15.38 %","-84.85 %","   .00 %"," 66.67 %"," -2.61 %","-32.50 %","-62.50 %","","  5.83 %"," ##.## %","-33.33 %"," 16.33 %","   .00 %","  2.23 %","  -.76 %"," ##.## %"," 37.50 %"," 30.77 %","","-58.46 %","  -.25 %","","","-66.67 %","-62.50 %"
"2020-06-22",""," ##.## %","-36.00 %"," 29.13 %","-44.44 %","-50.00 %"," ##.## %","   .00 %"," ##.## %","","","   .00 %"," ##.## %"," 40.00 %"," ##.## %"," 80.00 %"," -5.26 %","-77.78 %"," 33.33 %","   .00 %","-14.17 %","-57.14 %","   .00 %","-26.32 %","","  -.34 %","-22.14 %","","-63.64 %"," 23.53 %","   .00 %"," ##.## %","-14.80 %","","",""," 66.67 %"
"2020-06-23","   .00 %","-60.00 %","-62.50 %","-25.61 %","-20.00 %","","-40.00 %","   .00 %","-57.38 %","-80.00 %",""," ##.## %","-70.24 %"," ##.## %","-50.00 %","-88.89 %","-24.95 %"," 25.00 %"," ##.## %","   .00 %","-13.76 %"," 33.33 %","-50.00 %"," 45.83 %","","-26.98 %","-19.61 %","   .00 %"," 25.00 %","-66.67 %","","-37.21 %"," 11.38 %","","","   .00 %"," ##.## %"
"2020-06-24",""," 95.83 %"," 33.33 %"," 48.36 %","","","-50.00 %"," ##.## %","-96.15 %","","   .00 %","","-52.00 %",""," ##.## %"," ##.## %"," 35.68 %"," -6.67 %","-33.33 %","-83.33 %"," 47.87 %","-25.00 %","   .00 %","-33.88 %"," ##.## %"," 24.25 %"," ##.## %"," ##.## %","-80.00 %"," 14.29 %","   .00 %","-57.41 %"," 23.12 %","   .00 %","","-87.50 %","-69.23 %"
"2020-06-25","   .00 %","-29.79 %"," 87.50 %"," 19.89 %","","   .00 %","-33.33 %","-75.00 %"," ##.## %","","","   .00 %"," ##.## %","   .00 %"," ##.## %","-60.00 %"," 20.75 %"," ##.## %","-50.00 %",""," 23.74 %"," 33.33 %"," ##.## %"," 45.06 %"," ##.## %","  5.95 %"," 12.00 %"," -7.69 %"," ##.## %"," 87.50 %","-55.56 %"," ##.## %"," 17.03 %","","   .00 %"," ##.## %"," ##.## %"
"2020-06-26","   .00 %","-45.45 %","-13.33 %"," 24.42 %","   .00 %",""," ##.## %"," ##.## %"," 77.78 %","   .00 %","   .00 %","-66.67 %","  1.32 %","-56.25 %","-18.75 %"," ##.## %"," -3.93 %","-88.46 %"," 66.67 %"," ##.## %"," -8.72 %","   .00 %","-33.33 %"," 16.17 %","-75.00 %"," 78.25 %","-16.84 %","-33.33 %","-82.35 %"," 60.00 %","-75.00 %","-16.67 %","-13.99 %","","","-83.33 %","-95.83 %"
"2020-06-27"," ##.## %","-16.67 %","-46.15 %","-14.07 %","   .00 %","   .00 %"," ##.## %","-85.71 %"," ##.## %"," ##.## %","   .00 %","-##.## %","-39.61 %"," ##.## %"," 69.23 %"," 26.67 %"," 60.14 %","-##.## %"," 80.00 %","-80.95 %"," 71.97 %","-75.00 %","-##.## %"," 26.01 %","-##.## %","-28.15 %"," 65.64 %","   .00 %"," ##.## %"," 29.17 %","-50.00 %","-40.00 %"," 34.78 %","","   .00 %"," ##.## %","-##.## %"
"2020-06-28"," 79.41 %"," ##.## %"," ##.## %","  6.47 %","-57.14 %","","-50.00 %"," ##.## %","-90.07 %","-50.00 %","","   .00 %"," 10.75 %","-65.38 %","-31.82 %"," 47.37 %","-38.04 %","   .00 %"," ##.## %","-91.67 %","-26.30 %"," ##.## %","   .00 %"," 12.50 %","   .00 %"," 51.92 %","-44.07 %"," ##.## %"," 66.67 %"," 87.10 %"," ##.## %"," 44.44 %","-18.35 %","   .00 %","","-72.73 %","   .00 %"
"2020-06-29","-60.66 %","-41.03 %","-81.82 %"," 10.93 %","",""," 66.67 %","-14.29 %"," ##.## %",""," ##.## %","   .00 %"," ##.## %"," ##.## %"," 13.33 %","-39.29 %"," -4.74 %"," 28.57 %","-73.68 %"," ##.## %","  5.03 %","-50.00 %"," ##.## %","-19.64 %"," ##.## %","-60.96 %"," ##.## %","-95.83 %"," 40.00 %","-32.76 %"," 27.27 %","-11.54 %"," 14.65 %","   .00 %","   .00 %","-66.67 %",""
"2020-06-30","-66.67 %","-41.30 %"," ##.## %","-19.34 %","   .00 %","   .00 %"," 13.33 %"," 33.33 %","-11.43 %","   .00 %","","   .00 %","-61.87 %","-63.83 %","-70.59 %","-35.29 %","-27.16 %","-25.93 %","-60.00 %","-71.43 %","-44.98 %"," ##.## %","-63.64 %"," -9.97 %","-25.00 %"," ##.## %","-11.90 %"," ##.## %","-61.90 %","-15.38 %","-92.86 %","-63.04 %"," -6.70 %",""," ##.## %","","   .00 %"
"2020-07-01","-87.50 %","-70.37 %","-38.24 %"," 46.15 %",""," ##.## %","-64.71 %","-87.50 %","-96.77 %","","-55.56 %","","-19.30 %"," 82.35 %"," ##.## %"," 72.73 %"," 66.52 %"," 90.00 %"," ##.## %"," 50.00 %"," 30.43 %","   .00 %"," 25.00 %","-26.43 %"," ##.## %"," -3.32 %"," 12.77 %","-24.00 %"," ##.## %"," 24.24 %"," ##.## %","-94.12 %","  3.56 %","   .00 %","","   .00 %"," ##.## %"
"2020-07-02"," ##.## %"," 87.50 %"," 14.29 %","-39.63 %","   .00 %",""," ##.## %"," ##.## %"," ##.## %","   .00 %"," 75.00 %",""," 52.17 %"," -3.23 %"," 33.33 %"," 73.68 %","  4.51 %"," ##.## %","","","  2.67 %","-25.00 %","-40.00 %"," 76.21 %",""," 12.63 %","  2.91 %","-15.79 %","-25.00 %"," 41.46 %",""," ##.## %"," 20.58 %","","-##.## %"," 25.00 %"," 18.18 %"
"2020-07-03"," ##.## %"," ##.## %","-41.67 %"," 10.26 %"," 66.67 %",""," 16.67 %","","-86.84 %"," 50.00 %","-28.57 %","   .00 %"," 49.29 %","-80.00 %","-25.00 %","-60.61 %","-11.52 %","-44.74 %","-65.00 %","   .00 %","-18.18 %"," ##.## %"," ##.## %"," 12.95 %","   .00 %"," -8.34 %"," 12.26 %"," ##.## %","-##.## %","-18.97 %"," ##.## %"," -4.55 %"," 12.40 %","   .00 %","","-20.00 %","-30.77 %"
"2020-07-04","-96.43 %","-75.00 %"," -7.14 %"," -2.33 %","-40.00 %","   .00 %"," 50.00 %","   .00 %"," ##.## %","-66.67 %","-60.00 %","   .00 %","-18.66 %"," ##.## %","-25.00 %","-38.46 %","-15.42 %"," 14.29 %"," ##.## %"," ##.## %"," ##.## %","   .00 %","-44.44 %","-18.05 %"," 60.00 %"," 46.97 %"," -2.80 %","-53.19 %","   .00 %"," 10.64 %","-61.54 %"," ##.## %"," -3.76 %","","   .00 %","-75.00 %"," 22.22 %"
"2020-07-05"," ##.## %"," ##.## %"," ##.## %"," 41.43 %"," ##.## %","   .00 %"," -4.76 %","-91.67 %","-70.59 %","   .00 %"," ##.## %","-66.67 %"," 23.53 %","-43.75 %"," ##.## %"," ##.## %"," 10.66 %"," -2.08 %","-64.71 %","","  2.17 %"," -8.33 %"," ##.## %","-11.61 %"," 25.00 %","-21.04 %","-26.51 %","-40.91 %","-68.29 %"," 21.15 %"," 40.00 %","-73.72 %"," -4.41 %","",""," ##.## %","-18.18 %"
"2020-07-06","-91.67 %","-22.64 %","-65.38 %","-17.85 %","-46.15 %"," 50.00 %",""," ##.## %"," 73.33 %"," ##.## %","-75.00 %","-50.00 %"," 12.86 %","  8.33 %"," 16.00 %","   .00 %"," -6.76 %","-27.66 %"," ##.## %","-38.89 %"," -7.42 %"," 90.91 %","-72.73 %"," 18.86 %","-20.00 %","-30.52 %","  4.31 %","  7.69 %"," ##.## %","-41.27 %","-85.71 %","-75.00 %","-26.26 %","","","","-66.67 %"
"2020-07-07"," ##.## %","-31.71 %","-44.44 %","-22.13 %","-28.57 %","-66.67 %","   .00 %","-80.00 %","-65.38 %","-94.44 %"," ##.## %","","   .84 %"," 89.74 %","-31.03 %"," ##.## %","-34.58 %"," 14.71 %"," 20.00 %",""," 29.01 %","-66.67 %","   .00 %","-35.41 %",""," 41.38 %","  3.38 %"," ##.## %","-46.88 %","-27.03 %"," ##.## %"," ##.## %","-13.29 %",""," ##.## %","   .00 %"," ##.## %"
"2020-07-08"," ##.## %","-21.43 %"," 80.00 %","  2.63 %"," ##.## %"," ##.## %"," -4.00 %","   .00 %"," ##.## %","   .00 %","-40.00 %","   .00 %","-43.93 %","-82.43 %"," ##.## %","-17.02 %"," 71.59 %","-17.95 %"," 55.56 %","   .00 %","-40.53 %"," ##.## %"," 33.33 %"," 10.96 %","-25.00 %"," 35.02 %"," 10.55 %","-21.95 %"," 29.41 %"," ##.## %",""," -3.91 %"," 41.67 %","   .00 %",""," ##.## %","-26.67 %"
"2020-07-09","-81.25 %"," 40.91 %","   .00 %"," 10.77 %"," 21.43 %","-66.67 %","-95.83 %"," ##.## %","-75.00 %","   .00 %",""," ##.## %"," 11.94 %","-46.15 %","-65.45 %","-48.72 %"," -5.86 %"," -3.12 %"," 67.86 %"," ##.## %","  7.46 %"," 17.65 %"," 62.50 %","  7.11 %"," ##.## %","  7.44 %"," 53.62 %","-25.00 %","   .00 %"," 23.73 %","   .00 %","-61.79 %","  9.14 %","","","-82.35 %"," -9.09 %"
"2020-07-10"," ##.## %","-61.29 %"," ##.## %"," 28.70 %","-64.71 %"," ##.## %"," ##.## %"," ##.## %"," 66.67 %"," ##.## %","   .00 %","-90.91 %"," 76.00 %"," ##.## %","   .00 %"," ##.## %","  5.44 %"," 77.42 %","-42.55 %","-85.19 %"," 62.96 %","-85.00 %","-30.77 %"," 43.17 %","-48.00 %","  8.76 %"," -1.28 %","-62.50 %"," 22.73 %","-28.77 %",""," 19.15 %"," 11.98 %","","   .00 %"," ##.## %"," ##.## %"
"2020-07-11"," 92.86 %"," ##.## %","-76.19 %","  9.35 %","","-87.76 %","-45.45 %","-25.00 %"," 42.86 %"," ##.## %"," 66.67 %"," ##.## %"," 29.17 %"," -7.14 %"," 78.95 %","-55.56 %"," -3.96 %","-14.55 %","-11.11 %"," ##.## %","-15.06 %"," ##.## %","-11.11 %"," -2.06 %","-53.85 %"," 15.56 %","-13.88 %"," ##.## %","  3.70 %"," -7.69 %","   .00 %"," 89.29 %","   .95 %","",""," 36.36 %","-52.00 %"
"2020-07-12","-20.99 %"," 82.14 %"," 70.00 %","-26.97 %","   .00 %"," 33.33 %"," ##.## %","-41.67 %","-12.00 %","","-90.00 %","-66.67 %","-38.71 %"," ##.## %","-20.59 %"," 41.67 %"," -3.19 %"," 38.30 %","-20.83 %"," ##.## %","-34.45 %"," ##.## %"," 50.00 %","  5.53 %"," ##.## %","-16.71 %"," 13.10 %","-48.00 %","-32.14 %"," 58.33 %",""," ##.## %","  1.40 %",""," ##.## %","-93.33 %","-16.67 %"
"2020-07-13","-28.12 %","-98.04 %"," ##.## %"," -3.15 %","-48.28 %","","-14.29 %"," 85.71 %","-86.36 %",""," ##.## %","-75.00 %","  5.26 %"," 29.87 %"," ##.## %"," 61.76 %"," -6.84 %","-81.54 %"," 78.95 %",""," 20.41 %","-61.11 %","-41.67 %","-16.71 %","   .00 %","-40.36 %"," -9.58 %","  7.69 %"," 31.58 %"," -6.58 %"," 66.67 %"," 20.94 %","-19.86 %","",""," ##.## %"," ##.## %"
"2020-07-14"," 86.96 %"," ##.## %"," 65.71 %","  5.58 %","-60.00 %","   .00 %","-25.00 %","-46.15 %"," ##.## %","   .00 %","-83.33 %"," ##.## %"," 47.73 %","-99.00 %","  5.15 %","-29.09 %","-17.62 %"," ##.## %"," -2.94 %","-90.32 %"," 47.03 %","  7.14 %"," 14.29 %","-55.69 %"," -7.14 %"," 81.23 %","-39.66 %"," ##.## %","  4.00 %","  5.63 %","","-50.75 %","-19.02 %",""," 66.67 %"," ##.## %","-12.50 %"
"2020-07-15","-43.02 %","-75.00 %"," 25.86 %","-28.63 %"," 16.67 %",""," 55.56 %"," 14.29 %","-10.34 %","-19.05 %"," ##.## %"," ##.## %","-32.00 %"," ##.## %","-38.24 %","  2.56 %"," 44.03 %","-21.31 %"," 57.58 %"," ##.## %","-22.48 %"," 26.67 %","-37.50 %"," 59.46 %"," 15.38 %"," 10.36 %"," ##.## %"," 71.88 %","-15.38 %"," 72.00 %","   .00 %"," 38.79 %"," 31.69 %","","","-48.28 %","-66.67 %"
"2020-07-16"," 73.47 %"," ##.## %","-60.27 %","-26.54 %"," ##.## %","   .00 %","-42.86 %","-50.00 %","-80.77 %","   .00 %","-66.67 %","-95.83 %"," 32.13 %"," ##.## %"," ##.## %"," ##.## %","  7.42 %","-47.92 %","-63.46 %","-66.67 %","-10.04 %","-73.68 %","-20.00 %"," 83.90 %"," 13.33 %"," 16.87 %"," -8.50 %","-41.82 %"," ##.## %","-17.05 %","   .00 %","-14.41 %","  3.68 %","","-40.00 %","-86.67 %"," 14.29 %"
"2020-07-17"," -1.18 %","-10.00 %"," 93.10 %"," ##.## %"," ##.## %","   .00 %"," ##.## %"," 25.00 %"," ##.## %","-94.12 %"," ##.## %"," ##.## %","-66.44 %"," 43.86 %","-53.02 %","-18.75 %","-17.75 %"," ##.## %","-15.79 %"," ##.## %"," 92.56 %"," ##.## %"," 75.00 %"," -9.22 %"," ##.## %"," -3.93 %","-11.06 %"," ##.## %"," -9.33 %","-23.36 %","-83.33 %"," -8.16 %","-11.23 %","",""," ##.## %","   .00 %"
"2020-07-18","-73.81 %"," ##.## %"," -5.36 %","  1.96 %","-60.00 %"," ##.## %","-70.97 %"," ##.## %","-36.76 %"," ##.## %","-66.67 %","-80.00 %"," ##.## %","-14.63 %"," ##.## %","-44.87 %"," -2.31 %","-29.25 %"," ##.## %","-68.75 %","-29.61 %","-53.12 %"," ##.## %","-29.95 %","-80.95 %","  7.13 %"," -4.73 %","-59.77 %","-16.18 %"," -1.22 %"," ##.## %"," 30.56 %","  3.74 %",""," ##.## %"," -7.14 %"," ##.## %"
"2020-07-19"," ##.## %","-43.64 %"," 79.25 %"," 24.23 %","-25.00 %"," ##.## %"," 22.22 %","  7.69 %"," ##.## %"," ##.## %"," ##.## %"," ##.## %","-26.00 %"," -2.86 %","-21.07 %"," ##.## %","-12.48 %","-21.33 %","-48.15 %"," ##.## %"," 72.26 %"," 13.33 %","-68.18 %"," 29.35 %"," ##.## %"," 20.13 %"," 49.35 %"," ##.## %","-54.39 %"," 19.75 %"," ##.## %"," 26.38 %"," -6.28 %","","-68.75 %"," 69.23 %"," ##.## %"
"2020-07-20"," -7.76 %"," 96.77 %","-38.95 %","-20.12 %","-66.67 %",""," ##.## %"," -7.14 %","  1.15 %","-76.47 %","-75.00 %"," ##.## %"," ##.## %"," 39.71 %","-13.11 %","","  -.29 %","-32.20 %"," ##.## %","-31.82 %","-31.33 %","-88.24 %","-28.57 %"," -4.76 %","-93.10 %","-21.29 %","-26.22 %","-90.00 %"," ##.## %","-22.68 %","-14.29 %","-25.59 %","-10.10 %","","-80.00 %"," 18.18 %","-66.67 %"
"2020-07-21"," 17.76 %","-52.46 %","  3.45 %"," -5.04 %"," ##.## %","   .00 %"," 12.50 %","-30.77 %","-17.05 %"," 25.00 %","","-75.76 %","-43.28 %","-42.11 %"," -8.94 %","   .00 %"," -8.70 %"," 70.00 %","-37.65 %"," ##.## %","-13.92 %"," ##.## %"," ##.## %","-11.18 %"," ##.## %"," 13.38 %","-23.93 %"," ##.## %","-11.59 %"," 84.00 %","-33.33 %"," 94.57 %","-15.57 %","   .00 %"," ##.## %"," -3.85 %","-##.## %"
"2020-07-22"," 75.00 %"," 51.72 %"," 48.33 %"," 42.04 %","-10.00 %","   .00 %"," ##.## %"," 22.22 %"," 71.23 %"," ##.## %","   .00 %"," 25.00 %","-21.12 %","   .00 %"," 42.94 %","-70.73 %"," 38.62 %"," ##.## %","   .00 %","-31.71 %"," 46.71 %","-69.64 %","-25.00 %","-31.13 %","-44.44 %"," 32.52 %"," 43.30 %","-22.54 %"," 13.11 %","-38.41 %","-50.00 %"," -9.53 %"," 28.63 %",""," ##.## %"," 32.00 %","   .00 %"
"2020-07-23","-87.07 %"," 52.27 %","-35.96 %","-22.99 %","-37.78 %"," ##.## %"," 16.67 %","-54.55 %","-40.00 %","-83.33 %","   .00 %"," ##.## %"," 98.36 %","-87.27 %","-15.02 %",""," -4.96 %","-21.15 %"," 88.68 %","-60.71 %"," 13.47 %"," 17.65 %"," 25.00 %"," ##.## %","-66.67 %","-11.62 %"," 10.65 %"," 16.36 %"," 21.74 %"," 23.53 %"," ##.## %","-24.16 %","  1.01 %",""," 44.44 %","-51.52 %","-20.69 %"
"2020-07-24"," ##.## %","-41.79 %"," 17.54 %"," 30.22 %","-42.86 %"," ##.## %","-12.70 %"," ##.## %","-66.67 %"," ##.## %","   .00 %"," 19.05 %","-32.51 %"," ##.## %"," 86.36 %","   .00 %","-15.10 %"," 61.79 %","-57.00 %"," 27.27 %","-21.04 %"," 30.00 %"," -6.67 %","-17.10 %","-60.00 %","  6.09 %"," -5.70 %","-43.75 %","-39.29 %","  2.86 %"," ##.## %","  2.03 %","-17.58 %","","-46.15 %","-18.75 %","-26.09 %"
"2020-07-25"," 70.89 %","  2.56 %","-55.22 %","-13.18 %"," ##.## %","-22.22 %","-55.45 %","-12.00 %"," 84.00 %"," 37.50 %"," ##.## %","-64.00 %","-26.94 %"," ##.## %","-69.92 %"," 29.67 %","  2.18 %","  2.51 %"," 62.79 %","-57.14 %","  1.14 %","-42.31 %","-57.14 %","-14.90 %"," ##.## %"," -8.67 %","   .83 %"," 61.11 %"," 39.22 %"," 15.74 %"," 36.36 %","-40.86 %"," 12.22 %",""," 42.86 %"," ##.## %","-38.24 %"
"2020-07-26"," 53.70 %"," 12.50 %"," 23.33 %","-13.20 %","-39.53 %","-71.43 %","-48.98 %","  9.09 %"," 39.13 %","-72.73 %"," ##.## %","-88.89 %","-11.17 %","-59.26 %"," 38.74 %","-55.93 %","  1.94 %","-11.27 %","   .00 %"," 16.67 %"," -2.25 %"," ##.## %"," 83.33 %"," 10.10 %","-23.81 %","  3.50 %","  1.45 %","  6.90 %"," ##.## %"," -4.00 %","-53.33 %"," 92.13 %"," -9.33 %",""," 20.00 %","-66.67 %","-57.14 %"
"2020-07-27","-59.28 %","-64.44 %"," 40.54 %"," 17.87 %"," 30.77 %","-50.00 %"," ##.## %","-75.00 %","-60.94 %","   .00 %"," 14.29 %"," ##.## %"," ##.## %","-34.09 %"," ##.## %"," ##.## %"," -7.27 %","  5.52 %"," 14.29 %"," 71.43 %","-39.17 %","-40.54 %","   .00 %","-22.02 %","-81.25 %","-39.71 %","-18.13 %","-98.39 %","-34.76 %"," -4.17 %"," 85.71 %","-11.40 %"," -4.98 %","","-25.00 %","  6.25 %"," ##.## %"
"2020-07-28"," 28.99 %"," ##.## %"," 11.54 %"," ##.## %","  8.82 %","   .00 %"," 20.97 %"," ##.## %"," ##.## %"," ##.## %","-62.50 %","-61.54 %","-11.93 %"," 89.66 %","-68.77 %","-14.91 %","-31.44 %","  5.76 %","-92.50 %"," ##.## %"," 45.08 %","-31.82 %","-36.36 %","-26.27 %"," ##.## %"," 13.91 %","-33.83 %"," ##.## %"," 20.56 %"," 15.65 %","-92.31 %","-26.40 %","-25.35 %",""," ##.## %","-64.71 %","-72.31 %"
"2020-07-29"," 40.83 %","-83.82 %"," 79.31 %","-17.74 %","  2.70 %"," ##.## %","-46.67 %"," -4.17 %","-33.64 %","   .00 %",""," ##.## %","-48.24 %","-69.09 %"," 20.93 %","-28.87 %"," 58.43 %"," 21.78 %"," ##.## %","-76.09 %"," 37.60 %"," ##.## %"," ##.## %"," 56.38 %"," 14.29 %"," 18.04 %"," 86.84 %","-14.29 %","  7.75 %","  6.02 %"," ##.## %"," 13.00 %"," 33.21 %","","-35.00 %"," ##.## %"," 27.78 %"
"2020-07-30"," 51.14 %"," ##.## %"," 44.23 %","-22.30 %"," 60.53 %"," ##.## %","-37.50 %"," -4.35 %","-54.11 %"," ##.## %"," ##.## %","   .00 %"," 96.34 %"," ##.## %"," ##.## %"," 89.86 %","  8.93 %"," 39.02 %"," 62.37 %"," 36.36 %"," -4.55 %"," 94.12 %","-52.94 %"," 27.21 %"," ##.## %"," 27.71 %","-16.30 %","-53.70 %"," 81.29 %"," 47.52 %","-85.71 %"," 28.57 %","  5.41 %",""," 15.38 %","-57.14 %"," 21.74 %"
"2020-07-31","-30.39 %","-12.12 %","-66.67 %","-60.77 %","-34.43 %","-83.33 %"," ##.## %","-18.18 %"," ##.## %","-64.29 %"," -5.56 %","-70.00 %","  3.47 %","-46.00 %"," 23.80 %"," -2.29 %","-10.18 %","  -.29 %","-45.03 %"," ##.## %"," -9.54 %"," 14.14 %"," ##.## %"," -8.82 %","-19.12 %"," -9.16 %"," -9.38 %","-64.00 %","   .40 %","-19.23 %"," ##.## %","-20.99 %","  3.80 %","","-13.33 %"," ##.## %"," ##.## %"
"2020-08-01"," 52.01 %","-18.97 %"," 48.00 %","-29.88 %"," 22.50 %","-25.00 %","-21.57 %"," ##.## %","-85.44 %","-40.00 %"," 58.82 %"," 66.67 %","-29.64 %","-18.52 %"," 23.93 %"," 30.47 %"," -3.50 %","  3.23 %","  3.61 %","-68.29 %","  4.84 %","-70.80 %","-66.67 %"," -9.38 %","-49.09 %","-10.21 %"," 10.61 %"," ##.## %","  8.30 %"," 20.83 %","-40.00 %","-12.11 %","-21.57 %","","-30.77 %","-72.00 %"," 14.77 %"
