"date","Rajasthan/Ajmer","Rajasthan/Alwar","Rajasthan/BSF Camp","Rajasthan/Banswara","Rajasthan/Baran","Rajasthan/Barmer","Rajasthan/Bharatpur","Rajasthan/Bhilwara","Rajasthan/Bikaner","Rajasthan/Bundi","Rajasthan/Chittorgarh","Rajasthan/Churu","Rajasthan/Dausa","Rajasthan/Dholpur","Rajasthan/Dungarpur","Rajasthan/Evacuees","Rajasthan/Ganganagar","Rajasthan/Hanumangarh","Rajasthan/Jaipur","Rajasthan/Jaisalmer","Rajasthan/Jalore","Rajasthan/Jhalawar","Rajasthan/Jhunjhunu","Rajasthan/Jodhpur","Rajasthan/Karauli","Rajasthan/Kota","Rajasthan/Nagaur","Rajasthan/Other State","Rajasthan/Other state","Rajasthan/Pali","Rajasthan/Pratapgarh","Rajasthan/Rajsamand","Rajasthan/Sawai Madhopur","Rajasthan/Sikar","Rajasthan/Sirohi","Rajasthan/Tonk","Rajasthan/Udaipur"
"2020-05-29","","","","","",""," ##.## %"," ##.## %","","","","","",""," ##.## %","","","  1.90 %"," 47.86 %","","",""," 34.95 %"," 83.85 %",""," 35.68 %","  1.53 %","",""," ##.## %","","",""," ##.## %"," ##.## %","",""
"2020-05-30"," ##.## %","","","","",""," ##.## %"," ##.## %","-23.02 %","","","","",""," ##.## %","","","-14.10 %"," 69.75 %","",""," 61.83 %"," 19.95 %"," 67.14 %",""," 26.47 %","-16.79 %","",""," ##.## %","","","","-13.77 %"," ##.## %","",""
"2020-05-31"," ##.## %","","","","",""," ##.## %"," 33.41 %"," -3.02 %","","","","",""," ##.## %","","",""," 41.20 %","",""," ##.## %"," 33.29 %"," 95.93 %",""," 21.23 %"," 77.79 %","",""," ##.## %","","","","-18.47 %"," 55.48 %","",""
"2020-06-01"," ##.## %","","","","",""," 73.40 %"," 31.19 %","","",""," 45.67 %","",""," ##.## %","","",""," 38.95 %","",""," 41.83 %"," 26.43 %"," 13.49 %","","   .94 %","","",""," ##.## %","","",""," 19.13 %"," ##.## %","",""
"2020-06-02"," -2.56 %","","","","",""," 81.22 %"," ##.## %","","",""," 31.38 %","","","",""," 26.67 %",""," 58.95 %","",""," ##.## %"," 23.10 %","  2.20 %",""," 14.58 %","","",""," ##.## %","","",""," 12.08 %"," ##.## %",""," -9.37 %"
"2020-06-03"," 74.10 %","","","","",""," 31.36 %"," 93.33 %","","",""," 27.38 %",""," 14.38 %","","","",""," 19.43 %","",""," ##.## %",""," -9.64 %","","-17.04 %","","",""," ##.## %","","",""," 14.08 %"," 47.00 %","","-19.37 %"
"2020-06-04"," 83.33 %","","","","",""," 31.39 %"," 63.33 %","","",""," ##.## %","","","","","",""," -1.42 %","","","","","  9.21 %","","  3.84 %",""," 65.00 %",""," 48.37 %","","",""," 25.29 %"," 20.33 %",""," 40.63 %"
"2020-06-05","","","","","",""," 34.13 %"," 60.33 %","","","","","","","","","","","  4.55 %","",""," ##.## %",""," 12.62 %","","-13.78 %",""," 57.00 %",""," ##.## %","","",""," 46.95 %"," ##.## %",""," 18.68 %"
"2020-06-06","","","","","",""," 15.24 %"," 67.00 %","","","",""," 31.90 %","","","","",""," 25.55 %","","","",""," 22.72 %","","   .50 %","-14.80 %"," 43.67 %",""," 30.23 %","","",""," 14.25 %"," 74.33 %",""," ##.## %"
"2020-06-07","","","","","  8.33 %","","  3.42 %"," 13.67 %","",""," ##.## %",""," 61.90 %","","","","",""," 23.33 %","",""," 56.20 %",""," 24.15 %",""," 16.87 %"," 10.20 %"," ##.## %",""," 30.95 %",""," 41.67 %"," ##.## %"," 22.84 %"," 51.33 %",""," ##.## %"
