"date","Maine/Androscoggin","Maine/Aroostook","Maine/Cumberland","Maine/Franklin","Maine/Hancock","Maine/Kennebec","Maine/Knox","Maine/Lincoln","Maine/Out of ME","Maine/Oxford","Maine/Penobscot","Maine/Piscataquis","Maine/Sagadahoc","Maine/Somerset","Maine/Unassigned","Maine/Waldo","Maine/Washington","Maine/York"
"2020-05-21","  9.19 %","   .00 %","  3.14 %","  2.94 %","   .00 %","  1.65 %","   .00 %","  5.88 %","","   .00 %","  3.16 %","   .00 %","   .00 %","   .00 %"," 50.00 %","  2.00 %","   .00 %","  1.27 %"
"2020-05-22","  3.47 %","   .00 %","  5.33 %","  2.86 %","   .00 %","   .81 %","   .00 %","   .00 %","","  5.56 %","   .00 %","   .00 %","   .00 %","  5.00 %","   .00 %","   .00 %","   .00 %","  3.44 %"
"2020-05-23","  8.61 %","   .00 %","  4.24 %","   .00 %","   .00 %","  1.61 %","   .00 %","  5.56 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-##.## %","   .00 %","   .00 %","  1.81 %"
"2020-05-24","  2.64 %","   .00 %","  2.28 %","   .00 %","   .00 %","  1.59 %","   .00 %","  5.26 %",""," 10.53 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.08 %"
"2020-05-25","  2.15 %","   .00 %","   .78 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","  1.02 %","   .00 %","   .00 %","   .00 %","-##.## %","   .00 %","   .00 %","  1.74 %"
"2020-05-26","  3.78 %","   .00 %","  1.54 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","  4.76 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.57 %"
"2020-05-27","  2.02 %","   .00 %","   .85 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 18.18 %","   .00 %","   .00 %","  3.57 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.67 %"
"2020-05-28","  4.76 %","   .00 %","  2.54 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 11.54 %","  1.01 %","   .00 %","  3.45 %","  4.76 %"," 66.67 %","   .00 %","   .00 %","  1.37 %"
"2020-05-29","  1.89 %"," 25.00 %","  2.29 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 10.34 %","   .00 %","   .00 %","   .00 %","   .00 %","-20.00 %","   .00 %","   .00 %","   .81 %"
"2020-05-30","  6.69 %","   .00 %","  2.60 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","  3.12 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.14 %"
"2020-05-31","  3.83 %","   .00 %","  2.53 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","  3.03 %","   .00 %","   .00 %","   .00 %","   .00 %","-50.00 %","   .00 %","   .00 %","  1.05 %"
"2020-06-01","  2.01 %","   .00 %","  1.19 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," -2.94 %","   .00 %","   .00 %","   .00 %","   .00 %","-50.00 %","   .00 %","   .00 %","  1.56 %"
"2020-06-02","  3.29 %","   .00 %","  1.18 %","   .00 %","   .00 %","  -.78 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","  3.33 %","   .00 %","   .00 %","   .00 %","-50.00 %","  1.28 %"
"2020-06-03","  3.82 %","   .00 %","  1.91 %","   .00 %","   .00 %","   .00 %","  5.00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .51 %"
"2020-06-04","  2.45 %","   .00 %","  1.47 %","   .00 %","   .00 %","   .79 %","   .00 %","   .00 %",""," -3.03 %","   .00 %","   .00 %"," -3.23 %","   .00 %","   .00 %","   .00 %","   .00 %","   .75 %"
"2020-06-05","  1.20 %","   .00 %","  1.69 %","   .00 %","  9.09 %","   .78 %","   .00 %","   .00 %","","   .00 %","  1.00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.96 %","   .00 %","  1.75 %"
"2020-06-06","  2.37 %","   .00 %","  1.98 %","   .00 %","   .00 %","   .78 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-##.## %","   .00 %","   .00 %","  2.94 %"
"2020-06-07","  6.07 %","   .00 %","  1.32 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," -3.12 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.67 %"
"2020-06-08","  2.45 %","   .00 %","   .31 %","   .00 %","   .00 %","   .77 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","  9.09 %","   .00 %","  1.92 %","   .00 %","   .23 %"
"2020-06-09","  1.33 %","   .00 %","   .99 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
