"date","Punjab/Amritsar","Punjab/Barnala","Punjab/Bathinda","Punjab/Faridkot","Punjab/Fatehgarh Sahib","Punjab/Fazilka","Punjab/Ferozepur","Punjab/Gurdaspur","Punjab/Hoshiarpur","Punjab/Jalandhar","Punjab/Kapurthala","Punjab/Ludhiana","Punjab/Mansa","Punjab/Moga","Punjab/Pathankot","Punjab/Patiala","Punjab/Rupnagar","Punjab/S.A.S. Nagar","Punjab/Sangrur","Punjab/Shahid Bhagat Singh Nagar","Punjab/Sri Muktsar Sahib","Punjab/Tarn Taran"
"2020-08-04"," 34.48 %","-30.00 %","-88.14 %","-66.67 %"," ##.## %","-78.57 %","-72.55 %","-70.59 %"," 11.11 %","-67.62 %","-36.36 %"," 16.32 %","-16.67 %","-72.73 %"," 15.38 %","-44.12 %"," 66.67 %","   .00 %"," ##.## %","","   .00 %","   .00 %"
"2020-08-05"," 35.90 %"," ##.## %","-##.## %"," ##.## %","  7.69 %"," ##.## %"," 35.71 %","-90.00 %","-40.00 %"," ##.## %"," 14.29 %"," 36.20 %",""," ##.## %"," 20.00 %"," ##.## %"," ##.## %"," ##.## %","-45.71 %","   .00 %"," ##.## %"," ##.## %"
"2020-08-06"," 13.21 %","   .00 %","   .00 %"," 69.23 %"," 21.43 %","-22.22 %"," 73.68 %"," ##.## %"," 83.33 %","  -.99 %","-25.00 %","-36.88 %","   .00 %"," ##.## %","-38.89 %","-26.09 %","-70.00 %"," ##.## %","-26.32 %"," ##.## %"," 36.36 %","-39.13 %"
"2020-08-07","-20.00 %"," 12.12 %","-82.67 %","-13.64 %"," 58.82 %"," ##.## %","-78.79 %"," 31.48 %"," 90.91 %","-38.00 %"," ##.## %"," 54.74 %"," ##.## %","-69.57 %"," ##.## %","-10.29 %"," ##.## %","-25.96 %"," ##.## %"," ##.## %","-13.33 %"," ##.## %"
"2020-08-08"," ##.## %","-70.27 %"," ##.## %"," -5.26 %","-48.15 %","-50.00 %"," ##.## %","-29.58 %","-42.86 %"," 93.55 %"," 10.71 %","-42.86 %","-46.67 %","-92.86 %","-21.62 %"," 13.93 %"," -3.12 %"," 18.18 %"," -3.03 %","-63.64 %"," 23.08 %","-17.24 %"
"2020-08-09","-25.49 %"," 18.18 %","-44.44 %","-##.## %"," ##.## %",""," -5.88 %","-32.00 %"," -8.33 %","-50.83 %","-41.94 %"," 87.50 %","-12.50 %"," ##.## %","-89.66 %"," 43.17 %","-41.94 %","-86.81 %","-31.25 %"," ##.## %","-56.25 %","-70.83 %"
"2020-08-10","-57.89 %"," 76.92 %","-40.00 %","   .00 %","-60.53 %","   .00 %","-62.50 %","  8.82 %"," ##.## %"," ##.## %","-66.67 %","-22.22 %"," 57.14 %","-89.83 %",""," -1.01 %","-72.22 %"," ##.## %"," ##.## %","-36.36 %"," 42.86 %"," 85.71 %"
"2020-08-11"," ##.## %","-60.87 %"," 58.33 %","-40.00 %","-40.00 %","-78.57 %"," ##.## %","-64.86 %"," ##.## %","-65.38 %"," ##.## %","  3.27 %"," ##.## %"," ##.## %","   .00 %","-42.13 %","-20.00 %"," 40.68 %","-73.33 %"," 14.29 %","-50.00 %","-38.46 %"
"2020-08-12","-27.97 %"," ##.## %","-42.11 %"," ##.## %"," ##.## %"," ##.## %"," 40.00 %"," ##.## %","-72.73 %"," ##.## %"," 25.81 %"," -9.49 %","-91.18 %"," 18.75 %","-57.81 %","-38.60 %"," ##.## %"," 25.30 %"," 37.50 %","-18.75 %"," 80.00 %"," 12.50 %"
"2020-08-13","-57.65 %","-79.37 %"," ##.## %","-11.11 %"," ##.## %","-61.54 %"," ##.## %","-90.00 %","-80.95 %"," 35.71 %","-51.28 %"," -5.68 %"," ##.## %"," 26.32 %","-96.30 %"," ##.## %","-58.33 %","-15.38 %","  9.09 %"," 30.77 %"," 66.67 %","-11.11 %"
"2020-08-14","   .00 %"," 30.77 %","-24.05 %","-37.50 %","-37.21 %","-40.00 %","-57.58 %"," ##.## %"," ##.## %","-21.64 %"," ##.## %"," 35.19 %","-75.00 %"," -4.17 %"," ##.## %"," -3.57 %","-10.00 %","-39.77 %"," 20.83 %"," 35.29 %"," 13.33 %"," ##.## %"
"2020-08-15"," ##.## %"," ##.## %","-25.00 %"," ##.## %","-55.56 %"," ##.## %","-85.71 %"," ##.## %"," ##.## %","-65.67 %","-45.24 %","-58.22 %"," ##.## %","-39.13 %","-69.35 %"," 50.37 %"," 77.78 %"," 60.38 %"," ##.## %","-56.52 %","-35.29 %","-31.25 %"
"2020-08-16","-55.56 %","-91.23 %","-64.44 %","-88.89 %","   .00 %","-58.33 %"," ##.## %","-16.67 %","-57.14 %"," ##.## %","-39.13 %"," ##.## %"," 83.33 %"," ##.## %"," 84.21 %","-55.67 %"," 43.75 %","  7.06 %","-50.00 %","","-63.64 %"," ##.## %"
"2020-08-17"," 53.12 %"," ##.## %"," ##.## %"," ##.## %","   .00 %"," 40.00 %"," 59.38 %","-48.57 %","-95.24 %"," 59.36 %"," 14.29 %","-29.94 %","-45.45 %"," 40.62 %","-77.14 %"," 44.44 %"," ##.## %","-30.77 %","-10.34 %"," 90.00 %"," ##.## %","-96.77 %"
"2020-08-18"," -6.12 %","-61.29 %","-38.56 %"," 43.75 %"," ##.## %"," ##.## %","-77.78 %","-50.00 %"," ##.## %","-56.38 %"," 75.00 %"," ##.## %"," ##.## %","-63.33 %"," ##.## %"," ##.## %","-56.36 %"," 65.08 %"," ##.## %","-15.79 %"," 28.95 %"," ##.## %"
"2020-08-19"," 97.83 %"," ##.## %","-34.04 %"," 17.39 %"," 17.31 %","-17.39 %"," ##.## %"," ##.## %","-38.00 %"," 60.00 %","-71.43 %"," -9.94 %"," 60.00 %"," 96.97 %","-93.75 %","-66.27 %"," 41.67 %","  8.65 %"," 40.38 %","-12.50 %"," -6.12 %"," 14.29 %"
"2020-08-20","-17.58 %"," 11.54 %"," ##.## %","-24.07 %","-45.90 %"," 21.05 %"," 18.75 %","-48.72 %","-41.94 %"," 16.35 %"," ##.## %"," -8.51 %","-25.00 %"," 44.62 %"," ##.## %","-28.95 %"," -2.94 %"," 49.56 %","-61.64 %"," -7.14 %","-56.52 %"," ##.## %"
"2020-08-21"," 13.33 %","-25.86 %","-39.86 %","-46.34 %"," 27.27 %","-65.22 %","-43.61 %"," ##.## %","   .00 %","-28.51 %"," ##.## %","-57.29 %"," 22.22 %","-44.68 %"," 18.18 %"," ##.## %","-39.39 %","-15.98 %"," ##.## %"," ##.## %"," 35.00 %","-93.75 %"
"2020-08-22","  5.88 %","-86.05 %","-96.63 %"," 13.64 %","-28.57 %","-37.50 %","-96.00 %","-51.72 %"," 88.89 %","-73.41 %","  2.78 %"," ##.## %","-13.64 %","-51.92 %"," 61.54 %","-11.94 %"," 50.00 %"," 11.97 %","-61.16 %","-51.85 %"," ##.## %"," ##.## %"
"2020-08-23","-23.33 %",""," ##.## %"," 52.00 %","-30.00 %"," 90.00 %"," ##.## %","-28.57 %"," 50.00 %"," ##.## %","-21.62 %","-32.39 %","-26.32 %"," ##.## %","-16.67 %","  6.21 %","-46.67 %","-78.62 %","  8.51 %"," ##.## %","-94.12 %","-57.14 %"
"2020-08-24"," 60.87 %","   .00 %"," ##.## %","-31.58 %"," ##.## %"," ##.## %","-68.42 %"," ##.## %","-23.53 %"," 87.85 %","-18.97 %","-##.## %"," 42.86 %","-29.03 %"," 17.14 %","-21.81 %"," ##.## %"," ##.## %","  9.80 %","-37.84 %"," ##.## %","-46.67 %"
"2020-08-25","-32.43 %","-81.25 %","-35.43 %"," 50.00 %","-88.10 %","-70.00 %"," ##.## %","  4.20 %"," 56.41 %","-40.80 %"," 38.30 %","   .00 %"," 15.00 %","-11.36 %","-26.83 %"," -4.76 %","-75.00 %","-39.13 %","-42.86 %","-78.26 %","-80.65 %"," 87.50 %"
"2020-08-26"," -2.67 %"," ##.## %","-74.39 %","-97.44 %"," ##.## %","-93.33 %","-63.41 %","-12.08 %"," 36.07 %"," 23.53 %","  6.15 %"," ##.## %","-17.39 %","-38.46 %"," 46.67 %"," 69.29 %","-63.64 %","-64.94 %","-68.75 %"," ##.## %"," 16.67 %"," 86.67 %"
"2020-08-27","  1.37 %","-34.48 %"," ##.## %"," ##.## %"," 23.53 %"," ##.## %"," 40.00 %"," 60.31 %"," 13.25 %"," 26.53 %","-55.07 %","-25.21 %"," 36.84 %","-62.50 %","-43.18 %","-18.14 %"," ##.## %"," ##.## %"," ##.## %"," 15.00 %","-28.57 %","-85.71 %"
"2020-08-28"," 10.81 %"," ##.## %","-90.40 %"," ##.## %"," ##.## %"," 95.00 %"," ##.## %","-13.33 %"," -8.51 %"," 14.52 %"," 54.84 %","-74.50 %"," 38.46 %"," ##.## %"," ##.## %","-45.88 %","-27.78 %","-51.12 %","-27.91 %","-60.87 %"," ##.## %","-50.00 %"
"2020-08-29"," 39.02 %"," 21.95 %"," ##.## %","-95.69 %","-44.78 %","  2.56 %"," 35.23 %","-91.76 %"," -9.30 %","-69.95 %","-54.17 %"," ##.## %","-27.78 %","-66.15 %"," 48.21 %"," 38.10 %"," 80.77 %"," 57.47 %"," 64.52 %"," ##.## %"," -9.84 %"," ##.## %"
"2020-08-30"," -2.63 %","-30.00 %"," 71.43 %"," ##.## %","-72.97 %"," 70.00 %","-52.10 %"," ##.## %","-43.59 %"," ##.## %"," ##.## %"," -1.47 %","-42.31 %"," 90.91 %","-33.73 %"," 29.66 %","-29.79 %","  8.76 %","  3.92 %","-62.96 %","  1.82 %","-76.92 %"
"2020-08-31","  7.21 %"," 71.43 %"," ##.## %","-45.00 %"," ##.## %","-95.59 %","-24.56 %","-44.12 %"," -4.55 %"," 36.67 %","-44.44 %","-60.07 %"," ##.## %","-38.10 %","-30.91 %","-13.83 %","-51.52 %","-30.87 %","-30.19 %"," 20.00 %","-35.71 %","-50.00 %"
"2020-09-01"," -6.72 %","-61.67 %","-73.71 %"," ##.## %","-46.43 %"," ##.## %","-74.42 %","-76.32 %"," -7.14 %"," 60.00 %","-17.50 %","-38.32 %","-48.89 %"," 96.15 %"," -7.89 %"," 35.80 %"," ##.## %"," ##.## %","-##.## %"," 75.00 %"," 66.67 %"," ##.## %"
"2020-09-02"," -9.91 %"," ##.## %"," ##.## %","-53.85 %"," 20.00 %"," ##.## %"," ##.## %"," 44.44 %","-53.85 %","-46.95 %","-24.24 %"," ##.## %"," 21.74 %","-49.02 %","-31.43 %","-27.27 %"," -6.06 %","-46.92 %","   .00 %","-19.05 %","  8.33 %","-36.73 %"
"2020-09-03"," 67.00 %","-70.49 %","-78.05 %"," 33.33 %"," -5.56 %"," -5.36 %","  6.25 %"," ##.## %"," ##.## %"," 31.03 %"," ##.## %","-28.57 %"," 78.57 %","-42.31 %"," 91.67 %","-13.12 %","-25.81 %"," 19.64 %"," 22.22 %"," 17.65 %","-30.77 %"," 12.90 %"
"2020-09-04","-44.91 %"," 16.67 %"," ##.## %"," 26.79 %","-29.41 %","-35.85 %"," 11.76 %"," 54.29 %"," -3.33 %"," -7.89 %","-25.86 %"," 22.67 %","-60.00 %"," ##.## %","-71.74 %"," 32.37 %","-78.26 %","  2.99 %","-34.55 %","-50.00 %","-20.00 %","-80.00 %"
"2020-09-05"," 43.48 %","-23.81 %"," -3.96 %","-46.48 %"," 16.67 %","-35.29 %","-87.72 %","  4.63 %"," ##.## %","  9.05 %"," -4.65 %"," 13.04 %"," ##.## %","-93.10 %"," ##.## %","-25.54 %"," ##.## %","  5.80 %","-58.33 %","-50.00 %","-16.67 %"," ##.## %"
"2020-09-06","   .76 %","-37.50 %"," 73.20 %"," ##.## %","-28.57 %","-31.82 %"," ##.## %"," 64.60 %"," 10.66 %"," 13.97 %"," 75.61 %","-22.60 %","-42.86 %"," ##.## %"," ##.## %","  9.49 %","-53.33 %","  5.48 %"," ##.## %"," ##.## %"," 33.33 %","-45.16 %"
"2020-09-07"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"
