"date","Manipur/Bishnupur","Manipur/CAPF Personnel","Manipur/CAPF Personnel ","Manipur/Chandel","Manipur/Churachandpur","Manipur/Imphal East","Manipur/Imphal West","Manipur/Jiribam","Manipur/Kakching","Manipur/Kamjong","Manipur/Kangpokpi","Manipur/Meitram","Manipur/Noney","Manipur/Pherzawl","Manipur/Senapati","Manipur/Tamenglong","Manipur/Tengnoupal","Manipur/Thoubal","Manipur/Ukhrul","Manipur/kasom khulem"
"2020-10-18","  1.93 %","   .60 %","","  3.94 %","   .84 %","  1.35 %","  3.42 %","   .52 %","   .50 %","","   .43 %",""," 10.97 %","","  3.20 %","","  1.88 %","  4.45 %","   .76 %",""
"2020-10-19","   .19 %","  1.38 %","","   .47 %","  5.33 %","  2.93 %","  1.47 %","","  5.22 %","","   .43 %","","  1.90 %","","   .28 %","  8.09 %","  3.07 %","  1.21 %","   .25 %",""
"2020-10-20","  2.27 %","   .32 %","","","  1.69 %","  2.09 %","  2.54 %","   .52 %","  3.31 %","","  1.94 %","","   .37 %","","   .28 %","  5.66 %","  3.57 %","   .98 %","   .75 %",""
"2020-10-21","  4.44 %","   .27 %","","  3.77 %","  1.10 %","  1.94 %","   .79 %","","   .92 %","","   .63 %","","   .74 %","","  1.68 %","  5.35 %","  2.30 %","  1.39 %","   .75 %",""
"2020-10-22","  4.08 %","   .27 %","","  1.82 %","  1.86 %","  2.46 %","  3.47 %","   .52 %","   .23 %","","","","   .00 %","","  1.65 %","  3.74 %","  2.25 %","  2.12 %","   .49 %",""
"2020-10-23","  1.36 %","   .09 %","","   .89 %","  1.29 %","   .91 %","   .98 %","  2.06 %","","  6.91 %","   .21 %","","","","   .81 %","  2.88 %","  1.65 %","  1.07 %","",""
"2020-10-24","  1.34 %","   .54 %","","  3.10 %","   .85 %","  1.04 %","  1.96 %","","  1.81 %","","   .21 %","","  1.11 %","","  1.34 %","  4.48 %","   .54 %","  2.52 %","",""
"2020-10-25","  1.00 %","   .09 %","","   .86 %","   .95 %","  1.09 %","   .93 %","  2.02 %","   .44 %","","   .84 %","","   .36 %","","","   .80 %","   .54 %","  1.55 %","",""
"2020-10-26","   .82 %","   .31 %","","   .43 %","   .94 %","  1.54 %","  2.49 %","   .99 %","  4.42 %","  3.98 %","   .21 %","","","","   .27 %","  4.12 %","","   .64 %","   .25 %",""
"2020-11-02","  1.47 %","  1.24 %","","","","  2.52 %","  3.05 %","","","","   .41 %","","   .73 %","","   .79 %","  2.81 %","  2.14 %","  2.72 %","   .25 %",""
"2020-11-03","  3.05 %","","","   .42 %","   .82 %","   .98 %","   .73 %","","   .64 %","  1.44 %","   .82 %","","","","   .52 %","  3.48 %","  1.57 %","   .68 %","",""
"2020-11-04","  3.89 %","   .04 %","","   .84 %","   .92 %","  1.47 %","  2.44 %","   .49 %","  1.26 %","","  1.23 %","","","","   .26 %","  1.80 %","  1.03 %","  1.10 %","  1.22 %",""
"2020-11-05","   .90 %","   .66 %","","   .84 %","   .41 %","  2.61 %","  1.44 %","","   .21 %","   .47 %","  1.62 %","","","","   .52 %","  1.65 %","  1.02 %","   .30 %","   .48 %",""
"2020-11-06","   .89 %","   .31 %","","","   .91 %","  1.35 %","  1.46 %","","  1.04 %","","","","   .72 %","","   .52 %","","  2.02 %","   .36 %","   .72 %",""
"2020-11-07","  1.33 %","   .61 %","","   .41 %","  1.20 %","  2.13 %","  1.03 %","  1.46 %","   .21 %","   .47 %","  1.39 %","","","","   .77 %","  4.64 %","  1.98 %","   .96 %","   .48 %",""
"2020-11-08","  5.81 %","   .13 %","","","   .89 %","  1.01 %","  2.39 %","   .48 %","   .82 %","   .93 %","   .39 %","","","","","","","  1.19 %","",""
"2020-11-09","   .96 %","   .17 %","","   .83 %","   .29 %","  1.09 %","  1.54 %","  1.91 %","   .20 %","","   .20 %","","","  3.03 %","   .26 %","  2.22 %","","   .65 %","   .95 %",""
