"date","Gujarat/Ahmedabad","Gujarat/Amreli","Gujarat/Anand","Gujarat/Aravalli","Gujarat/Banaskantha","Gujarat/Bharuch","Gujarat/Bhavnagar","Gujarat/Botad","Gujarat/Chhota Udaipur","Gujarat/Dahod","Gujarat/Dang","Gujarat/Devbhumi Dwarka","Gujarat/Gandhinagar","Gujarat/Gir Somnath","Gujarat/Jamnagar","Gujarat/Junagadh","Gujarat/Kheda","Gujarat/Kutch","Gujarat/Mahisagar","Gujarat/Mehsana","Gujarat/Morbi","Gujarat/Narmada","Gujarat/Navsari","Gujarat/Other State","Gujarat/Other state","Gujarat/Panchmahal","Gujarat/Patan","Gujarat/Porbandar","Gujarat/Rajkot","Gujarat/Sabarkantha","Gujarat/Surat","Gujarat/Surendranagar","Gujarat/Tapi","Gujarat/Vadodara","Gujarat/Valsad","Gujarat/dahod","Gujarat/kutch","Gujarat/other state","Gujarat/porbandar","Gujarat/surat","Gujarat/surendranagar","Gujarat/tapi","Gujarat/vadodara"
"2020-06-23","-25.16 %","-50.00 %","-66.67 %","   .00 %",""," ##.## %"," ##.## %","   .00 %","   .00 %","   .00 %","",""," 42.86 %"," 50.00 %"," 20.00 %","","-##.## %"," ##.## %"," ##.## %"," 25.00 %","","-14.29 %"," ##.## %"," 50.00 %",""," ##.## %","-33.33 %",""," ##.## %","   .00 %"," 32.58 %"," ##.## %","-##.## %"," -4.55 %"," ##.## %","","","   .00 %","","","","",""
"2020-06-24"," -8.51 %"," ##.## %"," ##.## %"," ##.## %","   .00 %"," -9.09 %","-37.50 %","-50.00 %"," 50.00 %","   .00 %","","   .00 %","-30.00 %"," 66.67 %","  8.33 %","   .00 %","   .00 %","-66.67 %","-25.00 %","-20.00 %",""," 50.00 %"," 50.00 %","",""," ##.## %"," 50.00 %",""," ##.## %","-50.00 %"," -1.71 %"," 28.57 %","","  7.14 %"," 25.00 %","","","","","","","",""
"2020-06-25"," 10.70 %","-25.00 %","-22.22 %","-71.43 %","","-10.00 %","   .00 %","   .00 %","","   .00 %","",""," ##.## %","-20.00 %","  7.69 %","   .00 %"," ##.## %","   .00 %","","   .00 %","   .00 %"," 22.22 %","-16.67 %","","","-33.33 %","-33.33 %","","  7.69 %"," ##.## %"," -4.65 %","-77.78 %",""," -2.22 %"," 60.00 %","","","","","","","",""
"2020-06-26"," -7.98 %"," 66.67 %"," 14.29 %","-50.00 %","   .00 %"," 77.78 %"," 60.00 %"," ##.## %","-33.33 %"," ##.## %","",""," -6.67 %","","-35.71 %","-50.00 %","-16.67 %","-40.00 %","-66.67 %"," 75.00 %"," ##.## %","-45.45 %","-20.00 %"," 66.67 %","","-33.33 %"," ##.## %",""," -7.14 %","-50.00 %"," 10.98 %"," ##.## %","","  2.27 %","","","","","","","","",""
"2020-06-27"," -3.65 %","-40.00 %"," 37.50 %"," ##.## %","   .00 %","-50.00 %"," 75.00 %","   .00 %"," ##.## %","   .00 %","","","-35.71 %","-50.00 %","-22.22 %"," ##.## %","-40.00 %"," ##.## %","   .00 %"," ##.## %"," 50.00 %","-50.00 %"," ##.## %","-80.00 %",""," 25.00 %","-75.00 %",""," -7.69 %"," ##.## %","  1.10 %"," 16.67 %","   .00 %","  4.44 %","-37.50 %","","","","","","","",""
"2020-06-28","   .00 %"," ##.## %","-72.73 %","-20.00 %"," ##.## %","-12.50 %","-42.86 %"," 50.00 %","","","",""," 22.22 %","-50.00 %","-71.43 %"," ##.## %"," ##.## %"," -9.09 %","","-50.00 %"," 33.33 %","-66.67 %","-80.95 %"," ##.## %","","-60.00 %"," ##.## %","   .00 %","-16.67 %","-57.14 %"," -1.09 %"," 42.86 %","   .00 %"," -6.38 %"," ##.## %","","","","","","","",""
"2020-06-29"," 11.85 %","   .00 %"," ##.## %"," 50.00 %","-85.71 %"," 14.29 %","-37.50 %","-66.67 %","","","","   .00 %","-81.82 %"," ##.## %"," ##.## %","-70.00 %"," 16.67 %","-80.00 %",""," 25.00 %","","","-50.00 %","-38.46 %",""," 50.00 %"," 81.82 %",""," 30.00 %","-66.67 %"," 13.19 %","-10.00 %",""," 13.64 %","-97.22 %","","","","","","","",""
"2020-06-30","-16.53 %","-70.00 %"," 27.27 %","-16.67 %","   .00 %","   .00 %"," 60.00 %"," ##.## %","","","","-50.00 %"," ##.## %","   .00 %"," ##.## %"," ##.## %","-14.29 %"," ##.## %","   .00 %","-30.00 %","   .00 %","   .00 %","   .00 %","-87.50 %",""," 66.67 %","-45.00 %"," 50.00 %","-53.85 %"," ##.## %"," -3.40 %","-55.56 %","","  4.00 %"," ##.## %","","","","","","","",""
"2020-07-01","  9.14 %","   .00 %","-42.86 %","-40.00 %"," ##.## %"," 87.50 %","-25.00 %","-50.00 %","-71.43 %","   .00 %","","","   .00 %","-66.67 %","   .00 %","-12.50 %"," 50.00 %","-66.67 %","   .00 %"," 42.86 %"," ##.## %","   .00 %"," ##.## %","","","   .00 %","-81.82 %",""," ##.## %"," 25.00 %","  1.01 %"," ##.## %","","  9.62 %","-25.00 %","","","","","","","",""
"2020-07-02"," -1.86 %"," ##.## %","-62.50 %"," 33.33 %","   .00 %","-33.33 %"," ##.## %"," 50.00 %"," 50.00 %"," 50.00 %","","   .00 %","-56.25 %"," ##.## %","-38.89 %"," 85.71 %","-44.44 %"," 66.67 %","-50.00 %","-10.00 %","-25.00 %","","-83.33 %","","","-20.00 %"," ##.## %","-66.67 %"," 73.33 %","-40.00 %"," 12.94 %","   .00 %","   .00 %","   .00 %","-46.67 %","","","","","","","",""
"2020-07-03"," -3.32 %",""," ##.## %","-75.00 %","-33.33 %"," 30.00 %"," 50.00 %","-33.33 %","","-66.67 %","","   .00 %"," ##.## %","-66.67 %"," 18.18 %"," ##.## %"," ##.## %","   .00 %"," ##.## %","-44.44 %","-33.33 %","   .00 %"," 50.00 %","",""," ##.## %"," 10.00 %","   .00 %","-61.54 %"," 66.67 %","-10.13 %"," 16.67 %"," ##.## %","  8.77 %","-25.00 %","","","","","","","",""
"2020-07-04","-15.69 %","-71.43 %","-55.56 %"," ##.## %"," 25.00 %"," 15.38 %"," -4.76 %","   .00 %","","   .00 %","","   .00 %"," -6.25 %"," ##.## %","-38.46 %","-61.54 %","-28.57 %"," 40.00 %","-71.43 %"," 60.00 %"," 50.00 %",""," 83.33 %","","","-84.62 %","-45.45 %",""," ##.## %"," 20.00 %"," 24.02 %","-57.14 %",""," -1.61 %"," ##.## %","","","","","","","",""
"2020-07-05","  2.91 %","-50.00 %","","-28.57 %","-20.00 %","   .00 %","-20.00 %"," 50.00 %","   .00 %"," ##.## %","","   .00 %","-26.67 %","   .00 %","-25.00 %"," 30.00 %"," 20.00 %","-71.43 %"," 50.00 %"," 12.50 %"," 66.67 %","   .00 %","-72.73 %","",""," ##.## %"," 83.33 %","","-10.64 %"," 33.33 %","   .40 %"," 50.00 %"," ##.## %","  4.92 %"," -5.26 %","","","","","","","",""
"2020-07-06","  3.39 %"," ##.## %","-75.00 %","-60.00 %"," ##.## %"," 20.00 %"," ##.## %","-33.33 %"," ##.## %","-37.50 %","",""," 54.55 %","-50.00 %"," 16.67 %"," 15.38 %","-25.00 %"," ##.## %","-33.33 %"," 33.33 %","-20.00 %",""," ##.## %","",""," 33.33 %","-72.73 %","","-50.00 %","   .00 %"," -5.12 %","-44.44 %","-55.56 %","  1.56 %","-27.78 %","","","","","","","",""
"2020-07-07","  2.19 %","-14.29 %"," ##.## %"," ##.## %","-50.00 %","-16.67 %","-40.00 %","-50.00 %","-33.33 %"," 20.00 %","","   .00 %","  5.88 %"," 50.00 %"," 42.86 %","-13.33 %"," 22.22 %"," 27.27 %"," ##.## %"," 25.00 %"," 25.00 %","   .00 %"," 62.50 %","","","-50.00 %"," 66.67 %",""," 90.48 %","-75.00 %","  3.32 %"," ##.## %","-25.00 %","  4.62 %"," 61.54 %","","","","","","","",""
"2020-07-08","-16.58 %"," 16.67 %","-50.00 %","-50.00 %"," 25.00 %","  6.67 %"," -9.52 %","   .00 %","-50.00 %"," ##.## %","   .00 %","","  5.56 %"," 33.33 %","-10.00 %","-15.38 %","-72.73 %","-28.57 %","-42.86 %","   .00 %"," ##.## %"," ##.## %","  7.69 %","","","-75.00 %","-20.00 %","   .00 %"," -2.50 %"," ##.## %","  9.64 %"," 45.45 %","-66.67 %"," -1.47 %"," 28.57 %","","","","","","","",""
"2020-07-09","  3.85 %"," 14.29 %"," ##.## %"," ##.## %"," 20.00 %"," 18.75 %"," 21.05 %"," ##.## %"," ##.## %","-27.78 %","",""," 68.42 %"," ##.## %"," 22.22 %"," 72.73 %"," ##.## %","-50.00 %",""," 13.33 %","-##.## %","-75.00 %"," 14.29 %","",""," ##.## %"," 25.00 %","   .00 %","-48.72 %"," 37.50 %"," 12.45 %","-37.50 %"," ##.## %","  1.49 %","  3.70 %","","","","","","","",""
"2020-07-10","  1.85 %","-62.50 %","-36.36 %","-60.00 %","-22.22 %","-26.32 %"," ##.## %","-66.67 %","   .00 %","-38.46 %","",""," -3.12 %"," 22.22 %"," ##.## %"," -5.26 %","-32.00 %","-20.00 %",""," 23.53 %","   .00 %",""," 68.75 %","   .00 %",""," ##.## %","-20.00 %","   .00 %"," 95.00 %","-27.27 %","-12.38 %"," ##.## %","-62.50 %","  1.47 %","-82.14 %","","","","","","","",""
"2020-07-11","  7.88 %"," 33.33 %"," 14.29 %"," ##.## %","-14.29 %"," 64.29 %","-30.99 %","   .00 %","-75.00 %","-62.50 %","","   .00 %"," -9.68 %","-27.27 %","-52.17 %"," 33.33 %"," 17.65 %"," ##.## %"," 50.00 %"," -9.52 %"," 40.00 %","   .00 %","-37.04 %","","","-28.57 %"," 25.00 %","   .00 %","  5.13 %"," 12.50 %","   .37 %","-56.52 %","","  4.35 %"," ##.## %","","","","","","","",""
"2020-07-12"," -3.37 %"," ##.## %"," 37.50 %","-50.00 %","  8.33 %","-39.13 %"," -6.12 %"," ##.## %"," ##.## %"," ##.## %","","","  3.57 %","-25.00 %","-45.45 %"," 75.00 %","-20.00 %","-30.00 %","-83.33 %"," 21.05 %"," ##.## %","","-35.29 %","",""," ##.## %","-20.00 %",""," 12.20 %","-66.67 %"," -7.04 %"," ##.## %","   .00 %","  4.17 %"," -5.88 %","","","","","","","",""
"2020-07-13"," -4.65 %"," 81.25 %","-18.18 %"," 50.00 %"," -7.69 %","  7.14 %","-13.04 %","-60.00 %","   .00 %"," 77.78 %","","","-13.79 %",""," ##.## %","  9.52 %"," 18.75 %","   .00 %"," ##.## %","-47.83 %","-52.63 %",""," 72.73 %","","","-70.00 %"," ##.## %","   .00 %","-26.09 %"," ##.## %"," 14.34 %"," 23.81 %","-50.00 %"," -1.33 %","-50.00 %","","","","","","","",""
"2020-07-14","  1.83 %","-93.10 %"," 11.11 %","-66.67 %"," 75.00 %"," 86.67 %"," 12.50 %","   .00 %","   .00 %"," 18.75 %","","   .00 %","  4.00 %"," 16.67 %"," 38.46 %","-45.65 %","-21.05 %","   .00 %"," 80.00 %"," 75.00 %","-44.44 %","   .00 %","-47.37 %","   .00 %",""," ##.## %","-10.00 %","-50.00 %","-29.41 %"," 14.29 %","  1.39 %"," 19.23 %"," ##.## %","  2.70 %"," 75.00 %","","","","","","","",""
"2020-07-15","  3.59 %"," ##.## %","-20.00 %"," ##.## %","-47.62 %","-50.00 %"," 35.56 %"," ##.## %","","-36.84 %","",""," 15.38 %"," 42.86 %","-27.78 %"," 72.00 %"," 60.00 %"," ##.## %","   .00 %","-19.05 %"," ##.## %"," 50.00 %","-20.00 %","   .00 %","","-25.00 %","   .00 %",""," ##.## %"," 12.50 %","-18.90 %","  3.23 %","-57.14 %","  1.32 %","-28.57 %","","","","","","","",""
"2020-07-16","  4.62 %","-57.14 %"," 12.50 %","   .00 %"," 27.27 %"," ##.## %","-18.03 %"," 50.00 %"," ##.## %"," 33.33 %","","","-10.00 %","-40.00 %"," -7.69 %"," -9.30 %","-16.67 %","-21.43 %","-77.78 %","-23.53 %","-64.29 %","-50.00 %"," 25.00 %","   .00 %","","   .00 %","   .00 %",""," -5.56 %","   .00 %"," 12.29 %","-37.50 %",""," -3.90 %"," 60.00 %","","","","","","","",""
"2020-07-17","  1.66 %","-50.00 %","-11.11 %","","-21.43 %"," 62.07 %","-12.00 %","-33.33 %","-83.33 %"," -6.25 %","","   .00 %"," 18.52 %"," ##.## %"," 33.33 %","-15.38 %","  5.00 %"," 36.36 %"," 50.00 %"," 61.54 %","   .00 %","-66.67 %"," ##.## %","",""," 66.67 %"," 66.67 %",""," 13.73 %"," 33.33 %","-11.70 %","-35.00 %","   .00 %","  4.05 %","  6.25 %","","","","","","","",""
"2020-07-18","  8.15 %"," ##.## %","-12.50 %","   .00 %"," 90.91 %","-72.34 %","-18.18 %"," 75.00 %"," ##.## %","-33.33 %","-66.67 %","","-12.50 %","-15.38 %","-37.50 %"," 21.21 %","-28.57 %","-33.33 %"," ##.## %"," 14.29 %","-20.00 %"," ##.## %","-43.33 %","","","-20.00 %","   .00 %",""," -1.72 %","   .00 %"," 14.53 %"," 15.38 %","-60.00 %","  1.30 %"," 11.76 %","","","","","","","",""
"2020-07-19","  6.53 %"," 30.00 %","   .00 %","   .00 %","   .00 %"," 38.46 %"," -2.78 %","-71.43 %","-83.33 %"," 90.00 %","","","  7.14 %","-81.82 %","   .00 %","-62.50 %","-20.00 %"," 90.00 %","-28.57 %"," -8.33 %"," ##.## %","-50.00 %","-35.29 %","",""," ##.## %"," -6.67 %","","-14.04 %","-16.67 %","  6.34 %","   .00 %","","  1.28 %","-26.32 %","","","","   .00 %","","","   .00 %",""
"2020-07-20"," -8.96 %","   .00 %","-14.29 %"," 25.00 %","-38.10 %"," 22.22 %"," 20.00 %"," ##.## %","   .00 %","-36.84 %","","   .00 %","-33.33 %"," ##.## %"," ##.## %"," 26.67 %","  8.33 %","-15.79 %"," ##.## %"," 18.18 %","   .00 %"," ##.## %"," -9.09 %","",""," -6.25 %"," 21.43 %","   .00 %"," 14.29 %","-40.00 %","  -.35 %"," 33.33 %"," ##.## %"," -1.27 %"," 21.43 %","","","","","","","",""
"2020-07-21","  3.11 %","-46.15 %"," 33.33 %","-80.00 %"," 92.31 %","-27.27 %"," -9.52 %","-11.11 %",""," ##.## %","   .00 %","-66.67 %"," 55.00 %"," 12.50 %"," -9.09 %","-36.84 %","  7.69 %","-43.75 %","-45.45 %","-30.77 %","-33.33 %"," ##.## %"," 70.00 %","",""," 13.33 %"," 17.65 %"," ##.## %","  3.57 %","-16.67 %","  4.93 %","  5.00 %","-75.00 %"," -3.85 %","-23.53 %","","","","","","","",""
"2020-07-22"," -1.51 %"," ##.## %","-12.50 %"," ##.## %","-24.00 %"," 68.75 %","   .00 %"," 12.50 %"," ##.## %","-30.77 %","","","   .00 %"," 16.67 %","-25.00 %"," ##.## %","   .00 %"," ##.## %"," ##.## %"," 33.33 %"," 33.33 %","-26.32 %"," -5.88 %","","","-58.82 %"," -5.00 %",""," -5.17 %"," 60.00 %","-14.09 %"," -4.76 %"," 25.00 %","  6.67 %","-38.46 %","","","","","","","",""
"2020-07-23","  7.14 %","-81.25 %"," 28.57 %","-25.00 %","-26.32 %","   .00 %","  2.63 %","-22.22 %","-28.57 %"," 14.81 %","","","   .00 %","-47.62 %"," ##.## %"," 43.33 %"," -7.14 %"," 14.29 %","-61.11 %"," -4.17 %","-50.00 %"," ##.## %"," 12.50 %","",""," 71.43 %"," 21.05 %","-50.00 %","  7.27 %","-50.00 %","   .00 %"," 55.00 %","   .00 %","  2.50 %"," 12.50 %","","","","","","","",""
"2020-07-24","-16.19 %"," ##.## %"," 11.11 %"," ##.## %"," 85.71 %"," 11.11 %","   .00 %"," 14.29 %","-60.00 %","-41.94 %","","   .00 %","-16.13 %"," 72.73 %","-64.71 %","-34.88 %","-38.46 %"," -8.33 %","-71.43 %"," -4.35 %"," 50.00 %","-77.50 %","  5.56 %","   .00 %","","-33.33 %","-13.04 %","   .00 %","   .00 %"," ##.## %"," 20.70 %","-19.35 %"," ##.## %"," 12.20 %"," ##.## %","","","","","","","",""
"2020-07-25","  2.27 %","-88.46 %","   .00 %","-57.14 %"," 30.77 %","-16.67 %","  5.13 %","-62.50 %","   .00 %"," 38.89 %",""," 50.00 %"," 11.54 %"," 21.05 %"," 91.67 %"," 32.14 %"," 37.50 %","-13.64 %"," ##.## %"," 13.64 %"," 66.67 %"," 33.33 %","-36.84 %","",""," ##.## %","  5.00 %"," ##.## %"," 10.17 %"," 11.11 %","-10.68 %"," 16.00 %","-40.00 %","  2.17 %","  5.56 %","","","","","","","",""
"2020-07-26"," -9.44 %"," ##.## %"," 10.00 %","   .00 %","  2.94 %","-24.00 %","-24.39 %"," 66.67 %"," ##.## %"," 20.00 %","   .00 %"," 33.33 %","-34.48 %","-21.74 %","-39.13 %","-45.95 %","-18.18 %","  5.26 %","-70.00 %","-28.00 %","   .00 %"," ##.## %"," 50.00 %","","","   .00 %","  4.76 %","-33.33 %"," 10.77 %"," 40.00 %","  8.33 %","-17.24 %"," 50.00 %"," -2.13 %","-21.05 %","","","","","","","",""
"2020-07-27"," 12.88 %","-43.59 %","  9.09 %"," 33.33 %","-45.71 %"," 26.32 %","  6.45 %","-40.00 %","","-10.00 %","","-50.00 %"," 78.95 %","-11.11 %","  7.14 %"," 30.00 %"," 77.78 %","-40.00 %"," ##.## %"," -5.56 %"," 10.00 %","-76.92 %","-11.11 %","   .00 %","","-33.33 %"," 22.73 %"," 50.00 %","  2.78 %","-28.57 %","-13.71 %"," 25.00 %","-33.33 %","  4.35 %"," 26.67 %","","","","","","","",""
"2020-07-28","-15.22 %"," 18.18 %"," -8.33 %","-50.00 %"," 78.95 %","-20.83 %"," 15.15 %"," ##.## %","   .00 %"," 40.74 %","",""," 29.41 %"," -6.25 %"," 73.33 %","-38.46 %","-18.75 %","-16.67 %"," 81.82 %","  5.88 %","-18.18 %"," ##.## %"," 31.25 %","",""," 58.33 %","-33.33 %"," 33.33 %","  6.76 %","-20.00 %"," 13.57 %","  6.67 %","   .00 %"," -5.21 %"," -5.26 %","","","","","","","",""
"2020-07-29"," -2.56 %"," -7.69 %"," -9.09 %","-50.00 %","-70.59 %"," 73.68 %"," -7.89 %","   .00 %","   .00 %","-13.16 %","   .00 %","   .00 %"," 13.64 %","-46.67 %","-26.92 %"," 93.75 %","-23.08 %"," 30.00 %","-40.00 %"," ##.## %"," ##.## %"," 12.50 %","-19.05 %"," 42.86 %","","-47.37 %","   .00 %"," ##.## %","  1.27 %"," 75.00 %","  -.68 %"," -3.12 %"," 66.67 %","  4.40 %","  5.56 %","","","","","","","",""
"2020-07-30","  3.29 %","   .00 %"," 10.00 %"," ##.## %"," ##.## %","  6.06 %"," 31.43 %"," 62.50 %"," ##.## %"," -6.06 %"," ##.## %","   .00 %","-26.00 %","   .00 %"," ##.## %","  9.68 %"," 50.00 %"," -7.69 %"," 33.33 %","-50.00 %","-57.14 %","-11.11 %","-11.76 %","",""," ##.## %"," 22.22 %","-85.71 %","  7.50 %","  7.14 %"," -6.87 %","  9.68 %","-90.00 %","  1.05 %"," 15.79 %","","","","","","","",""
"2020-07-31"," 12.10 %","  8.33 %","   .00 %","-33.33 %","-50.00 %","-40.00 %","  2.17 %","-69.23 %","","-54.84 %","","","  8.11 %"," ##.## %","  5.00 %","-41.18 %"," -6.67 %"," 66.67 %","-25.00 %"," ##.## %"," ##.## %","-43.75 %","  6.67 %","-50.00 %",""," -8.70 %","-40.91 %"," ##.## %"," -8.14 %","-26.67 %","  4.80 %","  5.88 %"," ##.## %"," -2.08 %"," 18.18 %","","","","","","","",""
"2020-08-01","-17.05 %","-57.69 %","  9.09 %"," 50.00 %"," 21.43 %","-23.81 %"," -6.38 %"," ##.## %","   .00 %"," ##.## %","   .00 %","   .00 %","-27.50 %"," ##.## %","   .00 %"," ##.## %"," 42.86 %","   .00 %"," -8.33 %"," 15.00 %","-44.83 %"," ##.## %","-31.25 %","-40.00 %","","-57.14 %","  7.69 %"," 11.11 %"," 10.13 %","  9.09 %"," -7.75 %","-19.44 %","","  1.06 %","-34.62 %","","","","","","","",""
"2020-08-02","  6.16 %"," 54.55 %"," 33.33 %","-66.67 %","-82.35 %","   .00 %"," 63.64 %"," 15.38 %"," 85.71 %","-43.33 %",""," ##.## %","   .00 %","-62.16 %"," 23.81 %"," -4.76 %","-15.00 %","-20.00 %","-90.91 %"," -6.52 %","-50.00 %","-47.37 %"," 72.73 %","-33.33 %",""," ##.## %","-35.71 %","-30.00 %","  8.05 %","-33.33 %"," -9.54 %","-65.52 %","   .00 %","  1.05 %"," 17.65 %","","","","","","","",""
"2020-08-03"," -2.58 %"," 11.76 %","-31.25 %",""," ##.## %"," 12.50 %","-34.72 %","  6.67 %",""," 70.59 %"," 50.00 %","-61.54 %","-13.79 %","-57.14 %","-34.62 %","-47.50 %"," 17.65 %","  6.25 %"," ##.## %","-39.53 %"," 75.00 %","-20.00 %","-36.84 %"," ##.## %","","-18.52 %","-55.56 %","-42.86 %"," -9.57 %"," 87.50 %","  8.86 %"," 30.00 %","-50.00 %","  2.08 %","-85.00 %","","","","","","","",""
"2020-08-04","  1.32 %"," -5.26 %","-18.18 %","   .00 %","-40.00 %","-11.11 %"," 17.02 %","   .00 %","-84.62 %","-20.69 %","-66.67 %","-60.00 %"," 12.00 %"," ##.## %","-35.29 %"," 76.19 %","-45.00 %"," 35.29 %"," 71.43 %","-42.31 %","-50.00 %"," ##.## %","  8.33 %","","","   .00 %"," ##.## %","-25.00 %","  3.53 %","-13.33 %"," -5.04 %","-23.08 %"," ##.## %","  7.14 %"," ##.## %","","","","","","","",""
"2020-08-05","  5.23 %"," 66.67 %"," 33.33 %","-40.00 %"," ##.## %"," 31.25 %","-14.55 %","-12.50 %","   .00 %","-21.74 %"," ##.## %","-50.00 %"," -3.57 %","-43.75 %"," ##.## %","-32.43 %"," 27.27 %"," 17.39 %","-25.00 %"," 60.00 %"," ##.## %","-60.00 %","-15.38 %","","","-18.18 %","   .00 %"," ##.## %"," -9.09 %","-15.38 %"," -3.27 %"," ##.## %"," ##.## %","  9.52 %","-30.00 %","","","","","","","",""
"2020-08-06"," -6.21 %","-33.33 %","-50.00 %","-66.67 %","-84.62 %"," -9.52 %"," -6.38 %","-14.29 %","-50.00 %","-38.89 %","-50.00 %","   .00 %"," 18.52 %"," 66.67 %","-39.13 %"," 76.00 %"," 50.00 %","   .00 %"," 22.22 %"," 41.67 %","-41.67 %","-25.00 %","-18.18 %","",""," 11.11 %","-30.00 %","-94.12 %"," 12.50 %"," 27.27 %","   .42 %","-18.18 %","-75.00 %","  2.61 %"," ##.## %","","","","","","","",""
"2020-08-07","  1.32 %","  5.00 %"," ##.## %"," ##.## %"," ##.## %","-31.58 %","-15.91 %","-25.00 %"," ##.## %"," 90.91 %","","   .00 %","-15.62 %"," 53.33 %"," 85.71 %","  4.55 %","-33.33 %","-11.11 %","  9.09 %"," 26.47 %","-14.29 %"," ##.## %"," 88.89 %","-16.67 %","","-45.00 %","   .00 %"," ##.## %","   .00 %","-14.29 %"," -2.94 %"," -5.56 %","-50.00 %"," -6.78 %"," 12.50 %","","","","","","","",""
"2020-08-08","  3.27 %"," 57.14 %","-35.71 %","-25.00 %","-16.67 %","-15.38 %"," 27.03 %","   .00 %"," ##.## %"," 28.57 %","   .00 %"," ##.## %"," 11.11 %"," 13.04 %","  3.85 %","-30.43 %","-28.57 %"," -8.33 %","-25.00 %","-30.23 %"," 66.67 %"," -8.33 %","-58.82 %","",""," ##.## %"," ##.## %","-44.44 %","  3.33 %","-33.33 %"," -2.16 %"," 23.53 %"," ##.## %","  2.73 %"," -5.56 %","","","","","","","",""
"2020-08-09"," -3.16 %","  6.06 %","-44.44 %","-33.33 %"," 80.00 %"," ##.## %","-25.53 %"," 11.11 %","-87.50 %","-33.33 %"," ##.## %"," 25.00 %","-10.00 %"," 23.08 %"," 16.67 %","-15.62 %"," 10.00 %"," 13.64 %","   .00 %","-63.33 %","-55.00 %"," -9.09 %","-57.14 %","",""," 51.61 %","-42.11 %"," 40.00 %","  2.15 %"," 25.00 %"," -1.77 %","-14.29 %"," ##.## %"," -2.65 %"," 23.53 %","","","","","","","",""
"2020-08-10"," -5.88 %"," 20.00 %","-60.00 %","-50.00 %","-11.11 %","-28.57 %"," 37.14 %","-70.00 %"," ##.## %","-22.22 %","","   .00 %"," -3.70 %"," -9.38 %","-50.79 %","-33.33 %"," 36.36 %"," 28.00 %","   .00 %"," 72.73 %"," ##.## %"," 10.00 %"," ##.## %","","","-61.70 %"," 18.18 %"," ##.## %","  1.05 %","-20.00 %","  6.31 %"," 11.11 %","-85.71 %"," -1.82 %","-14.29 %","","","","","","","",""
"2020-08-11","  4.17 %","-28.57 %"," ##.## %"," ##.## %","-25.00 %"," ##.## %"," 14.58 %"," ##.## %"," ##.## %"," 57.14 %",""," 40.00 %"," 15.38 %"," -3.45 %"," 41.94 %","  5.56 %"," 13.33 %","-28.12 %"," 11.11 %"," 52.63 %","  8.00 %","-18.18 %"," 11.11 %","",""," 94.44 %","  7.69 %","-84.00 %"," -9.38 %","   .00 %","   .00 %","-25.00 %"," ##.## %","  2.78 %"," 22.22 %","","","","","","","",""
"2020-08-12","  6.00 %"," 16.67 %"," 30.00 %"," 33.33 %"," 33.33 %","-37.50 %","-16.36 %","-33.33 %","-50.00 %"," -4.55 %","","-85.71 %","   .00 %"," -3.57 %","-13.64 %","   .00 %"," -5.88 %"," 17.39 %","-80.00 %"," 10.34 %","-22.22 %"," 22.22 %"," 30.00 %","",""," -2.86 %","-28.57 %","-25.00 %","  9.20 %"," 37.50 %"," 15.25 %"," 80.00 %"," 50.00 %","  8.11 %","-18.18 %","","","","","","","",""
"2020-08-13","  4.40 %"," -5.71 %","-30.77 %","   .00 %"," 37.50 %","-60.00 %","-13.04 %","   .00 %"," ##.## %"," 19.05 %",""," ##.## %"," 10.00 %","  7.41 %","  2.63 %","-10.53 %","-25.00 %","-18.52 %"," ##.## %","-37.50 %"," 19.05 %","-54.55 %","  7.69 %","   .00 %","","-32.35 %"," 10.00 %","","   .00 %"," -9.09 %"," -7.72 %","-37.04 %",""," -9.17 %","-22.22 %","","",""," ##.## %","","","-83.33 %",""
"2020-08-14"," -3.01 %","-12.12 %"," 33.33 %","-25.00 %"," 36.36 %"," ##.## %","-40.00 %","   .00 %","-25.00 %"," -8.00 %","","-50.00 %"," 15.15 %","-17.24 %"," 43.59 %"," ##.## %","-41.67 %","   .00 %","-75.00 %"," 20.00 %","-16.00 %"," 40.00 %","-28.57 %","",""," 73.91 %"," 18.18 %"," 33.33 %","  4.21 %","-20.00 %"," -7.57 %","-23.53 %","-16.67 %"," -1.83 %","-35.71 %","","","","","","","",""
"2020-08-15","   .62 %","  3.45 %","-33.33 %"," 33.33 %","-26.67 %","  4.35 %"," 41.67 %"," 16.67 %","-16.67 %","-26.09 %",""," 66.67 %","-23.68 %","-16.67 %","   .00 %","-30.77 %"," ##.## %"," 31.82 %","-50.00 %","-33.33 %"," 85.71 %","-71.43 %"," 10.00 %","-20.00 %","","  7.50 %"," 23.08 %"," ##.## %"," -4.04 %","-37.50 %","   .86 %"," 23.08 %","-20.00 %","   .00 %","-22.22 %","","","","","","","",""
"2020-08-16","  1.23 %","-16.67 %"," 12.50 %","-25.00 %"," 72.73 %"," 25.00 %"," 11.76 %"," 14.29 %"," 20.00 %"," 52.94 %",""," ##.## %","   .00 %","-20.00 %","  3.57 %"," 25.93 %","-13.33 %","  6.90 %"," ##.## %"," 37.50 %","-66.67 %"," ##.## %"," 27.27 %"," 50.00 %","","  4.65 %","-43.75 %","   .00 %","  4.21 %"," ##.## %"," -2.56 %","-68.75 %","-25.00 %","   .93 %","-14.29 %","","","","","","","",""
