"date","Chhattisgarh/Balod","Chhattisgarh/Baloda Bazar","Chhattisgarh/Balrampur","Chhattisgarh/Bametara","Chhattisgarh/Bastar","Chhattisgarh/Bijapur","Chhattisgarh/Bilaspur","Chhattisgarh/Dakshin Bastar Dantewada","Chhattisgarh/Dhamtari","Chhattisgarh/Durg","Chhattisgarh/Gariaband","Chhattisgarh/Gaurela Pendra Marwahi","Chhattisgarh/Janjgir Champa","Chhattisgarh/Jashpur","Chhattisgarh/Kabeerdham","Chhattisgarh/Kondagaon","Chhattisgarh/Korba","Chhattisgarh/Koriya","Chhattisgarh/Mahasamund","Chhattisgarh/Mungeli","Chhattisgarh/Narayanpur","Chhattisgarh/Other State","Chhattisgarh/Raigarh","Chhattisgarh/Raipur","Chhattisgarh/Rajnandgaon","Chhattisgarh/Sukma","Chhattisgarh/Surajpur","Chhattisgarh/Surguja","Chhattisgarh/Unknown","Chhattisgarh/Uttar Bastar Kanker"
"2020-07-10","","",""," 50.00 %","",""," 49.78 %"," ##.## %",""," 56.67 %","",""," 47.23 %","","",""," -9.79 %","","",""," ##.## %","",""," 53.95 %"," ##.## %","",""," ##.## %","",""
"2020-07-11","","","","","",""," 23.01 %","",""," 40.67 %","","","","","",""," 10.21 %","","",""," ##.## %","",""," 49.79 %","","",""," 81.67 %","",""
"2020-07-12","","","","","","","","",""," ##.## %","",""," ##.## %","","","","","","",""," 34.67 %","",""," 56.37 %","","",""," ##.## %","",""
"2020-07-13"," 62.50 %","","","","","","",""," 70.00 %"," ##.## %","",""," 52.40 %","","","","","","","","-15.33 %","",""," 65.68 %","","",""," -6.00 %","",""
"2020-07-14"," 22.50 %",""," ##.## %","","","","","",""," ##.## %","",""," 74.51 %","","",""," 22.94 %","","",""," ##.## %","","  2.86 %","  9.59 %","","",""," ##.## %","",""
"2020-07-15"," 22.50 %"," ##.## %"," ##.## %","","","","",""," 67.14 %"," ##.## %"," ##.## %",""," ##.## %","",""," 30.00 %"," -2.06 %","","",""," ##.## %","",""," 88.25 %","","",""," ##.## %","",""
"2020-07-16",""," ##.## %"," ##.## %","","","","","",""," ##.## %","",""," ##.## %",""," 20.00 %",""," 52.22 %","","","","","",""," 81.88 %"," 69.82 %","",""," ##.## %","",""
"2020-07-17"," ##.## %"," -8.24 %","","","",""," ##.## %",""," 50.48 %"," ##.## %","",""," 92.84 %"," 80.00 %","","","","-18.33 %","","","","",""," 71.44 %"," 68.95 %","",""," ##.## %","",""
"2020-07-18",""," 30.00 %","","","",""," ##.## %",""," 70.48 %"," ##.## %","",""," ##.## %"," 68.00 %","",""," 55.00 %"," 81.67 %","","","","",""," 57.80 %"," 17.86 %","",""," ##.## %","",""
"2020-07-19",""," 86.67 %","","","",""," 71.14 %","",""," ##.## %","",""," ##.## %","","",""," ##.## %"," 73.33 %","","","","",""," 89.89 %"," 71.71 %","",""," ##.## %","",""
"2020-07-20","","","","","",""," ##.## %",""," 60.48 %"," -4.80 %","",""," ##.## %"," ##.## %","","",""," 76.67 %"," 90.00 %","","",""," 29.52 %"," 34.86 %"," ##.## %","",""," 92.41 %","",""
"2020-07-21","","","","","",""," 53.17 %"," 77.94 %",""," -7.02 %","",""," 63.10 %","","","",""," ##.## %","","","","",""," 35.55 %","","",""," 67.97 %","",""
"2020-07-22","","","",""," ##.## %",""," 90.04 %","",""," 33.57 %","",""," ##.## %","",""," ##.## %","",""," ##.## %"," ##.## %","","",""," 19.38 %","","",""," 63.68 %","",""
"2020-07-23","","","",""," ##.## %",""," 23.17 %","",""," 23.45 %","",""," ##.## %","",""," ##.## %","",""," 95.33 %"," ##.## %","","",""," 62.03 %","","",""," ##.## %","",""
"2020-07-24","","","",""," ##.## %"," ##.## %"," 26.92 %","",""," ##.## %","",""," ##.## %","",""," ##.## %","",""," 82.00 %","","","",""," 50.13 %","","",""," ##.## %","",""
"2020-07-25",""," ##.## %","",""," ##.## %",""," ##.## %","",""," ##.## %","",""," 98.20 %","",""," ##.## %","","","","","-19.00 %","",""," 25.43 %","","","","",""," 54.90 %"
"2020-07-26",""," ##.## %","",""," ##.## %"," ##.## %"," ##.## %","",""," ##.## %","",""," ##.## %","","","","","","","","","",""," 39.63 %"," ##.## %",""," ##.## %","",""," 44.14 %"
"2020-07-27",""," ##.## %","",""," 21.64 %",""," ##.## %","",""," ##.## %","",""," 18.81 %","","","","","","","","","",""," 29.23 %"," ##.## %","","","","","-24.20 %"
"2020-07-28",""," ##.## %","",""," ##.## %",""," ##.## %","",""," ##.## %","",""," 11.67 %","","","","","","",""," ##.## %",""," -2.63 %","   .29 %","  -.51 %","","","","","-32.20 %"
"2020-07-29",""," 73.41 %","",""," ##.## %",""," ##.## %","",""," 34.53 %","",""," ##.## %","","  7.33 %","","","","","","","","-15.13 %"," -6.72 %"," 54.14 %","","","","",""
"2020-07-30",""," 66.43 %","",""," ##.## %",""," 20.04 %","","","-30.80 %","",""," ##.## %",""," ##.## %","","",""," 68.67 %","","","","-26.47 %"," -2.16 %"," 46.60 %","",""," ##.## %","","-15.53 %"
"2020-07-31",""," -3.57 %","",""," ##.## %",""," 14.79 %","","","-17.12 %","-13.33 %",""," ##.## %","","","","",""," ##.## %","","","","","  3.52 %"," 55.01 %","",""," 95.83 %","","-27.44 %"
"2020-08-01","","  5.87 %","",""," ##.## %","","-24.95 %","",""," 29.11 %","-13.33 %",""," ##.## %","","","","",""," 45.33 %","","","",""," -3.81 %"," 48.97 %","",""," ##.## %","","-16.67 %"
"2020-08-02",""," 34.44 %","",""," 10.00 %","","-16.62 %","",""," 27.85 %","",""," ##.## %","",""," ##.## %"," 75.00 %",""," ##.## %","","","",""," -7.79 %"," 38.74 %","",""," ##.## %",""," 36.67 %"
"2020-08-03"," -3.33 %","","","","","","","",""," 44.80 %","",""," ##.## %","","",""," 81.67 %",""," 93.33 %","","","",""," -4.29 %","-33.59 %","","","",""," 23.33 %"
"2020-08-04"," -3.33 %","","","","","","","",""," 62.71 %","",""," 97.35 %","",""," ##.## %",""," -1.59 %"," ##.## %","","","",""," 25.81 %"," 71.09 %","","","",""," 73.33 %"
"2020-08-05","","","","","","","","","-73.33 %"," 51.30 %","",""," ##.## %"," ##.## %",""," ##.## %"," 66.67 %","-11.59 %"," 49.88 %","-23.33 %","",""," 94.24 %","  8.52 %"," 56.12 %","","","",""," 71.67 %"
