"date","New Mexico/Bernalillo","New Mexico/Catron","New Mexico/Chaves","New Mexico/Cibola","New Mexico/Colfax","New Mexico/Curry","New Mexico/De Baca","New Mexico/Dona Ana","New Mexico/Doña Ana","New Mexico/Eddy","New Mexico/Grant","New Mexico/Guadalupe","New Mexico/Harding","New Mexico/Hidalgo","New Mexico/Lea","New Mexico/Lincoln","New Mexico/Los Alamos","New Mexico/Luna","New Mexico/McKinley","New Mexico/Mora","New Mexico/Otero","New Mexico/Quay","New Mexico/Rio Arriba","New Mexico/Roosevelt","New Mexico/San Juan","New Mexico/San Miguel","New Mexico/Sandoval","New Mexico/Santa Fe","New Mexico/Sierra","New Mexico/Socorro","New Mexico/Taos","New Mexico/Torrance","New Mexico/Unassigned","New Mexico/Union","New Mexico/Valencia"
"2020-05-02","  6.39 %","   .00 %","   .00 %","   .00 %","   .00 %","  5.88 %","","  4.08 %","","  8.33 %","  7.14 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %"," 20.00 %","  4.89 %",""," 20.00 %","   .00 %"," 22.22 %","   .00 %"," 11.46 %","   .00 %","  3.54 %","  7.00 %","   .00 %","   .00 %","   .00 %","  6.67 %","   .00 %","   .00 %","  4.26 %"
"2020-05-03","  4.19 %","   .00 %","   .00 %","  7.94 %","   .00 %","   .00 %","","  3.92 %","","   .00 %","  6.67 %","  7.14 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 16.67 %","  2.51 %","","   .00 %","   .00 %","  9.09 %"," 11.11 %","  3.66 %","   .00 %","  1.46 %","   .00 %","   .00 %","  4.65 %","  5.26 %","   .00 %","   .00 %","   .00 %","  2.04 %"
"2020-05-04","  2.61 %","   .00 %","  4.35 %","  1.47 %","   .00 %","  5.56 %","   .00 %","  6.92 %","","   .00 %"," -6.25 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  7.78 %",""," 33.33 %","   .00 %","   .00 %","   .00 %","  6.11 %","   .00 %","  1.20 %","   .93 %","   .00 %","  2.22 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-05","  2.01 %","   .00 %","  4.17 %","  7.25 %","   .00 %","  5.26 %","   .00 %","  1.76 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  3.33 %","","   .00 %","   .00 %","   .00 %","   .00 %","  3.20 %"," 50.00 %","  1.19 %","   .00 %","   .00 %","  4.35 %","   .00 %","  6.25 %","   .00 %","   .00 %","  6.00 %"
"2020-05-06","  1.87 %"," ##.## %","   .00 %"," 10.81 %","   .00 %"," 15.00 %","   .00 %","  4.05 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 16.67 %","   .00 %","   .00 %","   .00 %","  4.95 %",""," 12.50 %","   .00 %","   .00 %"," 10.00 %","  4.71 %"," 33.33 %","  1.41 %","  1.85 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  3.77 %"
"2020-05-07","  3.16 %","   .00 %","  4.00 %","   .00 %","   .00 %"," 13.04 %","   .00 %","  9.44 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  4.86 %","","   .00 %","   .00 %","  8.33 %","   .00 %","  9.12 %","   .00 %","  1.62 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," -1.82 %"
"2020-05-08","  1.78 %","   .00 %","  3.85 %","  3.66 %","   .00 %","  7.69 %","-##.## %","  4.57 %","","  7.69 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  4.14 %",""," 66.67 %","   .00 %","  3.85 %","   .00 %","  7.38 %"," 25.00 %","  2.73 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.85 %"
"2020-05-09","  1.94 %","   .00 %","   .00 %","  1.18 %","   .00 %","  3.57 %","   .00 %"," -2.43 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  3.29 %","","-53.33 %","   .00 %","   .00 %","   .00 %","  2.63 %"," 20.00 %","   .22 %","   .00 %","   .00 %","   .00 %","   .00 %","  5.88 %","   .00 %","   .00 %","   .00 %"
"2020-05-10","  2.19 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  9.95 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  7.14 %","   .00 %","   .00 %","   .00 %","   .93 %",""," 14.29 %","   .00 %","   .00 %","   .00 %","  1.87 %","   .00 %","  1.33 %","   .91 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-11","  1.21 %","   .00 %","   .00 %","   .00 %","   .00 %","  6.90 %","   .00 %"," 10.86 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 14.29 %","  4.14 %",""," 50.00 %","   .00 %","  3.70 %","   .00 %","  7.06 %"," 16.67 %","  1.97 %","   .90 %","   .00 %","  2.08 %","   .00 %","   .00 %"," 57.89 %","   .00 %","  3.64 %"
