"date","Odisha/Angul","Odisha/Balangir","Odisha/Balasore","Odisha/Bargarh","Odisha/Bhadrak","Odisha/Boudh","Odisha/Cuttack","Odisha/Deogarh","Odisha/Dhenkanal","Odisha/Gajapati","Odisha/Ganjam","Odisha/Jagatsinghpur","Odisha/Jajpur","Odisha/Jharsuguda","Odisha/Kalahandi","Odisha/Kandhamal","Odisha/Kendrapara","Odisha/Kendujhar","Odisha/Khordha","Odisha/Koraput","Odisha/Malkangiri","Odisha/Mayurbhanj","Odisha/Nabarangapur","Odisha/Nayagarh","Odisha/Nuapada","Odisha/Others","Odisha/Puri","Odisha/Rayagada","Odisha/Sambalpur","Odisha/State Pool","Odisha/Subarnapur","Odisha/Sundargarh"
"2020-09-07","49","46","97","168","42","21","150","5","56","26","154","57","79","70","23","40","80","95","892","79","68","242","35","31","12","","58","139","83","","40","97"
"2020-09-08","9","28","78","75","54","7","230","0","35","17","115","64","68","50","18","28","15","76","1145","68","41","153","45","12","25","","192","18","62","","36","23"
"2020-09-09","3","41","103","92","43","7","202","2","123","20","98","42","100","95","60","60","131","60","1023","95","32","154","34","29","16","","215","50","102","","20","58"
"2020-09-10","17","25","38","139","53","23","411","5","65","18","173","75","92","93","33","20","66","82","354","65","27","233","52","152","23","","132","101","81","","24","34"
"2020-09-11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","","0","0"
"2020-09-12","236","82","236","462","184","38","700","30","119","44","283","184","297","226","49","68","238","194","1391","186","52","521","138","97","153","","235","251","152","","86","346"
"2020-09-13","28","39","66","116","144","65","348","4","25","29","110","31","40","119","89","85","44","51","806","71","22","206","24","58","17","","280","173","66","","87","120"
"2020-09-14","91","80","156","262","167","27","344","12","146","29","94","102","177","68","39","45","64","51","503","64","25","175","70","90","40","","112","95","94","","90","70"
"2020-09-15","72","75","115","397","34","19","375","43","34","38","92","93","242","117","48","100","88","60","744","115","22","152","59","70","53","","201","17","71","","84","84"
"2020-09-16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","","0","0"
"2020-09-17","199","248","220","265","116","106","739","42","178","55","178","202","399","148","70","85","159","126","1789","194","50","254","128","111","312","","690","141","131","","222","171"
"2020-09-18","16","193","80","94","77","38","550","10","52","25","98","115","169","59","71","102","132","77","782","75","34","49","115","47","112","","298","89","78","","121","23"
"2020-09-19","66","123","91","169","104","18","371","14","50","18","56","121","139","93","44","38","145","92","605","120","44","115","160","83","78","","412","145","99","212","110","155"
"2020-09-20","116","46","194","95","104","34","434","17","67","15","67","126","120","111","42","75","139","57","840","88","33","83","71","60","77","","274","113","90","204","136","90"
"2020-09-21","22","136","73","132","76","51","320","23","39","22","55","90","113","151","34","85","147","72","796","99","27","120","120","36","11","","256","98","111","188","65","136"
"2020-09-22","210","183","185","190","53","41","389","20","17","13","17","123","118","70","150","110","156","55","525","74","27","122","97","55","91","","274","22","138","106","93","110"
"2020-09-23","122","44","111","97","65","17","378","20","71","15","55","164","152","150","79","72","129","83","716","91","36","138","101","45","121","","181","146","128","217","126","182"
"2020-09-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0"
