"date","Assam/.","Assam/Airport","Assam/Airport Quarantine","Assam/Baksa","Assam/Barpeta","Assam/Biswanath","Assam/Bongaigaon","Assam/Cachar","Assam/Charaideo","Assam/Chirang","Assam/Darrang","Assam/Dhemaji","Assam/Dhubri","Assam/Dibrugarh","Assam/Dima Hasao","Assam/Goalpara","Assam/Golaghat","Assam/Hailakandi","Assam/Hojai","Assam/Jorhat","Assam/Kamrup","Assam/Kamrup Metropolitan","Assam/Karbi Anglong","Assam/Karimganj","Assam/Kishanganj","Assam/Kokrajhar","Assam/Lakhimpur","Assam/Majuli","Assam/Morigaon","Assam/Nagaon","Assam/Nalbari","Assam/Other State","Assam/Sarusajai Quarantine Centre","Assam/Sivasagar","Assam/Sonitpur","Assam/South Salmara Mankachar","Assam/Tinsukia","Assam/Udalguri","Assam/West Karbi Anglong"
"2020-09-21","","","","","","","","","6","","","3","6","58","","2","13","","11","19","","81","","","","","2","","","","","","","11","","","","",""
"2020-09-22","","","","","5","","4","29","","","13","","","59","","","13","","","20","","83","","","","","","","","","","","","","","","","",""
"2020-09-23","","","","","","","","30","","3","","","","59","","","","","","21","21","85","","","","","4","","","","10","","","12","","","25","",""
"2020-09-24","","","","","","","","","","","","","","59","","","13","","","21","","85","","","","","","","","","","","","","","","","",""
"2020-09-25","","","","","","","","30","","","14","","","62","","3","16","","","22","","90","","","","","6","","","","","","","13","","","","",""
"2020-09-26","","","","","","","","","","","","4","","62","","","19","","12","24","","90","","24","","","","","","11","","","","15","5","","","5",""
"2020-09-27","","","","","","","","","","","","","","","","","","","","24","","90","","","","","","","","","","","","","","","","",""
"2020-09-28","","","","","","","","","","","","","","","","","19","","","24","","90","","","","","","","","","","","","","5","","","",""
"2020-09-29","","","","","","","","","","","15","","8","64","","","","","","26","","","","","","9","8","2","","","11","","","16","","","","",""
"2020-09-30","","","","","","","","31","","","16","","","67","","","","","","27","22","","","25","","10","11","","5","13","12","","","","6","","","",""
"2020-10-02","","","","","","","","","","","","","","68","","4","","","","","","92","","","","","13","","","","","","","20","","","","",""
"2020-10-03","","","","","","","","32","","","","","","69","","","","","","30","23","94","9","","","","14","","","14","14","","","21","","","","",""
"2020-10-04","","","","","","","","","","","17","5","9","70","","","21","","","33","","96","","","","","15","3","","15","","","","","","","","",""
"2020-10-05","","","","","6","","","","","","18","6","","72","","","23","","","","","97","","","","","16","","6","","","","","22","","","","",""
"2020-10-06","","","","","7","","5","33","","5","","","10","74","","","25","","","34","","100","","","","","","","","16","","","","24","7","","","",""
"2020-10-07","","","","","","","","","","","","","","","","","","","","","","100","","","","","","","","","","","","","","","","",""
"2020-10-08","","","","","","","","34","","","","","11","75","","","26","","","35","","101","","","","11","17","4","","","","","","","","","","",""
"2020-10-09","","","","","","","","","7","","","","","78","","","","","","35","","102","","","","","","","","17","","","","25","8","","","",""
"2020-10-10","","","","","","","","","8","","","","","80","","","27","","","","24","102","","","","","","5","","18","","","","26","9","","","",""
"2020-10-11","","","","","","","","","","","","","","","1","5","","","","36","","104","","","","","","","","","","","","","","","","",""
"2020-10-12","","","","","","","","","","","","","","81","","6","28","","","37","","107","","","","","18","","","","","","","","","1","26","",""
"2020-10-13","","","","","","","","","","","","","","82","","","","","","38","","108","","","","","","","","","","","","27","","","","",""
"2020-10-15","","","","","","","","","","","","","","","","","","","","","","108","","","","","","","","","","","","","","","","",""
"2020-10-17","","","","","","","","","","6","","7","","83","","","30","","","41","25","109","10","","","","","","","","","","","28","","","","",""
"2020-10-18","","","","","","","","","","","","","","","","","","","13","42","","","","","","","","","","19","","","","","","","","",""
"2020-10-19","","","","","","","","","","","","","","","","","31","","","43","","113","","","","","","","","","","","","","","","27","",""
"2020-10-20","","","","","","1","","","","","","","","","","","34","","","","","116","","","","","","","","","","","","","","","29","",""
"2020-10-21","","","","","","","","","","","","","","","","","35","","","","","118","","","","","","6","","20","","","","","","","","",""
"2020-10-22","","","","","","","","","","","","","","","","","37","","","44","","119","","","","","19","","","","","","","","10","","30","",""
"2020-10-23","","","","","","","","","","","","","","","","","","","","","","120","","","","","","","7","","","","","","12","","","",""
"2020-10-24","","","","","","","","","","","","","","","","","","","","","","120","","","","","","","","","","","","","","","","",""
"2020-10-25","","","","","","2","","","","","","","","","","","38","","","45","","","","","","","20","","","","","","","","","","","",""
"2020-10-26","","","","","","","","","","","","","","","","","","","","","","122","","","","","","","","","","","","","","","","",""
"2020-10-27","","","","","","3","","","","","","","","84","","","39","","","","27","122","","","","","","","","","","","","","","","31","",""
"2020-10-28","","","","","","","","","","","","","","","","","41","","","","","123","","","","","","","","","","","","","","","","",""
"2020-10-29","","","","","","4","","","","","","","","","","","","","","","","123","","","","12","21","","","22","","","","29","","","","",""
"2020-10-30","","","","","8","","","","","","","","","","","","42","","","","","123","","","","","","","","23","","","","","","","","",""
"2020-11-01","","","","","","","","","","","","","","","","","","","","","28","123","","","","","","","","","","","","","","","","",""
