"date","Odisha/Angul","Odisha/Balangir","Odisha/Balasore","Odisha/Bargarh","Odisha/Bhadrak","Odisha/Boudh","Odisha/Cuttack","Odisha/Deogarh","Odisha/Dhenkanal","Odisha/Gajapati","Odisha/Ganjam","Odisha/Jagatsinghpur","Odisha/Jajpur","Odisha/Jharsuguda","Odisha/Kalahandi","Odisha/Kandhamal","Odisha/Kendrapara","Odisha/Kendujhar","Odisha/Khordha","Odisha/Koraput","Odisha/Malkangiri","Odisha/Mayurbhanj","Odisha/Nabarangapur","Odisha/Nayagarh","Odisha/Nuapada","Odisha/Others","Odisha/Puri","Odisha/Rayagada","Odisha/Sambalpur","Odisha/State Pool","Odisha/Subarnapur","Odisha/Sundargarh"
"2020-07-18","   .61 %","  3.30 %","  2.02 %"," 16.75 %","   .96 %","  7.81 %","  3.32 %","  4.55 %","  8.04 %","   .00 %","  3.57 %","  4.68 %","  2.03 %","  2.42 %","","   .00 %","  2.40 %","  1.57 %","  6.94 %","  1.81 %","  3.01 %","  5.08 %"," 16.42 %","  3.49 %","","","  1.53 %","   .54 %"," 14.71 %","","","  2.37 %"
"2020-07-19"," 13.25 %","  1.42 %","  5.02 %","  1.23 %","  1.58 %"," 11.59 %","  2.28 %","","   .83 %","  5.87 %","  4.68 %","  8.13 %","  4.20 %","   .00 %","  2.35 %","","  2.05 %","   .26 %","  5.74 %"," 20.00 %","  6.57 %","  2.64 %","   .64 %","  3.07 %","","","  3.52 %","  4.28 %"," 16.03 %","","","  2.19 %"
"2020-07-20","  2.13 %","   .00 %","  1.88 %","  8.91 %"," 18.01 %","   .00 %","  2.64 %","   .00 %","  8.20 %","  2.13 %","  4.32 %","  6.77 %","  2.82 %","  6.60 %",""," 21.36 %","  1.15 %","  6.15 %","  2.94 %"," 15.19 %","  1.37 %","   .21 %","   .00 %","  1.19 %","   .00 %","","   .97 %","   .00 %","  1.66 %","","  8.16 %","  1.38 %"
"2020-07-21"," 19.27 %","  1.75 %","  5.68 %","  1.49 %","  3.16 %","   .00 %","  6.76 %","","  7.58 %","   .00 %","  3.90 %","  1.23 %","   .20 %","","   .00 %","  2.00 %","  3.69 %","  1.93 %","  3.35 %","  9.00 %","  3.38 %","   .64 %","  1.27 %","  1.18 %","","","   .00 %"," 24.10 %","  5.43 %","","  1.89 %","  2.73 %"
"2020-07-22","   .44 %","  2.06 %","  1.34 %","  9.52 %","   .26 %","  3.90 %","  4.30 %","","  1.41 %","  3.34 %","  6.19 %","  6.09 %","  1.96 %"," 15.04 %"," 17.24 %","  5.10 %","  6.58 %","  3.79 %","  5.77 %","  4.42 %"," 21.57 %","  2.76 %"," 10.69 %","  1.45 %","","","  6.73 %"," 39.67 %"," 10.31 %",""," 18.52 %","  3.50 %"
"2020-07-23","  3.04 %","   .34 %","  1.19 %","  8.03 %","  7.63 %","  2.50 %","  3.40 %","","  4.17 %","  9.97 %","  8.49 %","   .66 %","  1.63 %","  1.15 %","  6.86 %"," 10.82 %","  2.06 %","  5.71 %","  6.18 %","  7.63 %","","  3.10 %","  2.27 %"," 17.48 %","  1.00 %","","  4.95 %"," 24.85 %","  9.35 %","","","  7.00 %"
"2020-07-24","  4.22 %","  2.01 %","  2.88 %","  2.48 %"," 14.18 %"," 50.00 %","  9.50 %","","  1.33 %","   .37 %"," 10.61 %","   .49 %","   .47 %","  3.04 %","   .92 %","  5.72 %","  2.27 %","  4.32 %"," 13.59 %","  8.66 %","  2.42 %","  6.41 %","  1.67 %","  2.44 %","   .99 %","","  6.44 %","   .00 %","  5.56 %","","  6.25 %","  6.11 %"
"2020-07-25","  2.43 %","  2.96 %","  2.93 %","  4.23 %","  5.80 %","   .00 %","  3.00 %","  1.45 %","   .00 %"," 10.99 %","  7.34 %","   .49 %","  2.16 %","   .74 %","   .91 %"," 12.42 %","   .25 %","  4.97 %","  6.50 %","  7.25 %","   .00 %","   .00 %","   .00 %","  9.05 %","  3.92 %",""," 18.15 %"," 15.40 %","   .00 %","","  1.47 %","  4.83 %"
"2020-07-26","  1.98 %","  6.07 %","  3.59 %","  2.03 %","  1.96 %","  6.50 %","  4.65 %"," 15.71 %","  9.87 %","  8.14 %","  5.91 %","  1.77 %","   .74 %","  2.20 %","  9.91 %","  3.40 %","  2.70 %"," 20.32 %","  6.56 %","  1.58 %","  3.94 %","  4.14 %"," 11.48 %","  6.55 %","  3.77 %",""," 15.53 %","  9.24 %","  6.88 %","","  7.25 %","  3.24 %"
"2020-07-27","   .39 %","  6.33 %","  2.27 %","  6.53 %","  4.80 %","   .76 %","  8.05 %","   .00 %"," 19.16 %","  7.43 %","  5.66 %","   .95 %","  4.65 %","  3.58 %","  8.20 %"," 20.00 %","  2.15 %","  7.05 %","  7.35 %","  7.54 %","  8.59 %","  5.06 %","   .98 %","  1.64 %","","","   .59 %"," 12.78 %","  6.44 %","","  5.41 %","  5.41 %"
"2020-07-28","  4.25 %","  5.95 %","  3.39 %","  2.67 %","   .37 %","  1.52 %","  3.29 %","  1.23 %","   .50 %","  8.43 %","  3.62 %","  7.38 %","  1.74 %","   .69 %","  6.06 %","  3.20 %","  3.28 %"," 11.79 %","  9.57 %"," 15.05 %","  3.26 %","  3.79 %","   .00 %","  1.41 %","  7.27 %","","  1.62 %","  4.00 %","   .00 %","","  2.56 %","   .18 %"
"2020-07-29","  7.41 %","  6.95 %","  3.28 %","  1.30 %","   .73 %","   .00 %","  3.24 %","  2.44 %","   .50 %","  7.69 %","  2.58 %","   .44 %","  1.03 %","  4.12 %"," 13.57 %","  2.43 %","  1.81 %","   .00 %","  5.43 %"," 11.83 %","   .23 %","  3.32 %"," 12.62 %","  5.77 %","  9.32 %","","  2.31 %","  3.85 %","  7.47 %","","  2.50 %"," 10.07 %"
"2020-07-30","  5.17 %","  1.50 %","  2.19 %","  3.08 %","  9.60 %","  2.24 %","  4.98 %","  9.52 %","  1.49 %","  5.84 %","  2.57 %","  1.16 %","  3.90 %","   .00 %","  2.52 %","  3.02 %","  3.12 %","  1.51 %","  5.84 %"," 10.58 %"," 14.61 %","  2.57 %","  1.72 %","  4.51 %","","","  1.27 %","  6.94 %"," 13.25 %","","  4.88 %","  6.05 %"
"2020-07-31","  8.20 %","  4.68 %","  3.96 %","  2.49 %","   .17 %","   .00 %","  1.37 %","  2.17 %"," 45.10 %","  7.43 %","  3.68 %","  2.16 %","  1.55 %","  2.31 %"," 26.99 %"," 10.48 %","  3.02 %","  2.16 %","  5.37 %"," 11.74 %","  5.10 %","  2.03 %"," 13.98 %"," 12.05 %","  6.98 %","","  5.02 %","  5.77 %"," 16.37 %","","  5.81 %","  5.78 %"
"2020-08-01","  4.55 %","  8.94 %","  2.99 %","  3.16 %","  3.30 %","  6.57 %","  2.61 %",""," 16.55 %","  7.70 %","  2.97 %","  2.68 %","  3.54 %","  2.26 %"," 14.49 %","  8.54 %","  3.14 %","  4.10 %","  6.79 %","  5.97 %","  5.60 %","  5.98 %","  3.35 %","  5.30 %","  3.62 %","","  6.64 %"," 22.37 %","  9.80 %","","  6.59 %","  4.52 %"
"2020-08-02","  2.61 %","   .00 %","  1.20 %","  1.18 %","  3.99 %","  3.42 %","  5.79 %","  2.13 %","  3.77 %","  6.03 %","  3.00 %","  1.78 %","  4.43 %","  1.89 %","  7.59 %","  7.69 %","  4.47 %","   .25 %","  4.86 %","  1.47 %","  4.24 %","   .14 %","   .72 %","  1.22 %","  4.90 %","","  8.09 %"," 21.96 %"," 11.67 %","","  6.19 %","  5.30 %"
"2020-08-03","  3.67 %"," 11.02 %","  7.81 %","  7.67 %","  3.84 %","   .00 %","  3.96 %","","  3.07 %","  3.81 %","  3.01 %","  2.96 %","  1.34 %","  2.17 %","  1.57 %","   .00 %","  2.14 %","   .00 %","  4.49 %"," 11.70 %","  6.61 %","  4.19 %","  9.29 %","  3.31 %","  3.33 %","","  1.96 %","  3.47 %"," 19.06 %","","  5.83 %","  3.04 %"
"2020-08-04","  3.81 %","   .97 %","  3.39 %","  2.16 %","  5.92 %","  1.32 %","  5.18 %","   .00 %"," 13.82 %","  2.29 %","  2.54 %","  2.62 %","  2.86 %","   .91 %"," 18.15 %"," 10.06 %","  2.29 %","  8.35 %","  4.09 %","  5.29 %","  5.41 %","  3.88 %","   .65 %","  4.52 %","  1.94 %","","  3.84 %","   .00 %"," 14.11 %","","   .92 %","  4.11 %"
"2020-08-05","  1.05 %","  2.12 %","  2.75 %","  2.96 %","  3.07 %","   .65 %","  6.83 %","","  1.19 %","  4.41 %","  1.73 %","  2.68 %","  1.71 %","  3.00 %","  4.25 %","  2.95 %","  6.89 %","  9.35 %","  3.83 %","  3.18 %","  5.73 %","  2.00 %","  2.27 %","  8.37 %","   .00 %","","  7.94 %","  1.94 %"," 10.86 %","","  2.73 %","  5.12 %"
"2020-08-06","  4.42 %","  3.96 %","  1.47 %"," 16.63 %","  8.94 %","  5.19 %","  4.00 %","","  6.35 %","  3.32 %","  2.27 %","  1.99 %","  2.88 %","  2.92 %","  9.40 %"," 10.60 %","  4.70 %","  5.98 %","  4.14 %","  4.08 %"," 10.27 %","  3.14 %","  5.08 %","  3.22 %","  1.90 %","","  6.75 %","  1.65 %"," 13.74 %","","  8.85 %"," 10.45 %"
"2020-08-07","  2.24 %","  6.72 %","  5.87 %","  1.41 %","  6.22 %"," 20.99 %","  4.54 %","   .00 %","  9.51 %","  1.91 %","  2.31 %","  1.95 %","  4.09 %","  8.50 %"," 24.07 %","  2.07 %","  5.66 %","  1.61 %","  5.39 %","  4.49 %","  4.66 %","  4.31 %","  3.32 %","  7.61 %","   .62 %","","  6.33 %"," 12.96 %","  4.67 %",""," 26.83 %","  5.84 %"
"2020-08-08","  3.89 %","  7.31 %","  5.86 %","  1.22 %","   .23 %","  3.57 %","  3.43 %","","  7.27 %","  1.87 %","  2.22 %","  2.51 %","  2.36 %","   .52 %","  6.93 %","  6.60 %","  2.20 %","   .30 %","  4.70 %","  4.57 %","  3.34 %","  4.74 %","  1.46 %","  4.63 %","   .62 %","","  8.17 %"," 10.26 %"," 12.80 %","","   .00 %","  5.92 %"
"2020-08-09","   .94 %","   .95 %","  5.54 %","  8.75 %","  6.78 %","","  5.99 %","  5.21 %","  5.46 %","  4.46 %","  1.76 %","  1.40 %","  2.43 %","  1.56 %","  5.18 %","  7.02 %","   .31 %","  2.67 %","  5.60 %","  5.24 %","  6.22 %","  4.07 %","  3.75 %"," 11.74 %"," 13.50 %","","  4.52 %","  1.23 %","  1.42 %","","  8.33 %","  5.97 %"
"2020-08-10","  1.86 %","  9.26 %","  3.09 %","  1.58 %","  7.66 %","  3.45 %","  2.30 %",""," 19.11 %","  1.56 %","  1.81 %","  2.53 %","  2.06 %","  2.30 %","  6.37 %","  1.89 %","  2.61 %","   .48 %","  3.38 %","  5.56 %","  4.28 %","  2.46 %","  6.39 %","  3.17 %","  1.08 %","","  2.04 %","  1.83 %"," 16.78 %","","  2.96 %","  5.64 %"
"2020-08-11","   .91 %","  3.88 %","  3.77 %","  8.70 %","  8.43 %","  4.76 %","  2.37 %","   .00 %","  2.10 %","   .99 %","  1.73 %","  1.79 %","   .92 %"," 16.75 %","  4.83 %","  1.75 %","  4.04 %","  2.21 %","  3.27 %","  3.54 %","  1.84 %","   .98 %","  1.57 %","  5.48 %","  3.74 %","","  1.23 %","  4.98 %","  2.22 %","","  8.05 %","  3.85 %"
"2020-08-12","  3.39 %","  4.29 %","  5.44 %","  2.14 %","  4.69 %","  4.55 %","  3.33 %","  1.98 %","  5.29 %","  3.48 %","  1.95 %","  2.86 %","  3.21 %","  1.28 %","  7.55 %","  3.22 %","  8.35 %","  1.97 %","  4.32 %","  5.85 %","  2.55 %","  7.55 %","  7.71 %","  9.56 %","  1.55 %","","  6.08 %","  6.20 %","  3.01 %",""," 11.70 %","  4.85 %"
"2020-08-13","  1.31 %","  3.58 %","  3.76 %","  3.78 %","  5.82 %","  9.57 %","  3.87 %"," 15.53 %","  5.44 %","   .38 %","  1.97 %","  4.50 %","  3.53 %","  1.69 %","  6.68 %"," 18.61 %","  3.85 %","  2.12 %","  3.82 %","  6.96 %","  6.62 %","  3.71 %","  4.30 %","  4.66 %","  8.12 %","","  5.52 %","  3.28 %","  3.09 %",""," 27.14 %","  5.64 %"
"2020-08-14","   .43 %","   .90 %","  3.44 %","  2.96 %","  9.98 %","  1.98 %","  2.87 %","  1.68 %","  5.29 %","  4.39 %","  2.02 %","  3.48 %","  3.92 %","  2.29 %","  7.70 %","  5.26 %","   .77 %","   .90 %","  4.46 %","  6.04 %","  5.04 %"," 11.61 %","  3.89 %","  5.96 %","  9.39 %","","  5.64 %","  4.04 %","  4.65 %","","  2.62 %","  3.24 %"
"2020-08-15","  2.58 %"," 11.68 %","  9.80 %","  4.71 %","  7.85 %"," 44.75 %","  3.54 %","","  8.67 %","  3.07 %","  2.32 %","  1.39 %","   .60 %","  3.86 %","  6.26 %","  8.16 %","  1.65 %","  4.55 %","  4.86 %","  8.42 %","  6.74 %","  1.99 %","  2.42 %","   .30 %","  6.87 %","","  5.98 %","  8.09 %","  6.10 %","","  7.30 %","  5.56 %"
"2020-08-16","  7.74 %","  3.07 %","  6.87 %","  6.00 %","  7.63 %","  2.15 %","  5.04 %"," 13.22 %","  4.62 %","  3.11 %","  2.20 %","  4.59 %"," 10.86 %","  5.87 %","  3.79 %","  3.85 %","  7.49 %","  2.22 %","  5.98 %","  5.55 %","  8.04 %"," 11.55 %","  5.59 %"," 10.61 %","  8.03 %","","  8.74 %","  5.95 %","  2.63 %",""," 12.93 %","  5.44 %"
"2020-08-17","  2.91 %","  4.08 %","  7.19 %","  4.13 %","  6.89 %"," 12.89 %","  4.93 %","   .00 %","  1.99 %","   .26 %","  1.65 %","  1.49 %","  4.80 %","  2.22 %","  9.05 %","  8.97 %","  3.14 %","  1.09 %","  3.60 %","  5.20 %","  7.85 %","  6.93 %","  4.28 %","   .88 %","  3.35 %","","  3.79 %","  7.74 %","  2.42 %","","  3.31 %","  4.36 %"
"2020-08-18","  1.13 %","  6.99 %","  6.14 %","  5.78 %","  4.53 %"," 12.35 %","  2.83 %","","  3.90 %","  1.78 %","  1.64 %","  2.39 %","  3.50 %","  2.35 %","  2.60 %","  6.12 %","   .79 %","  5.95 %","  4.68 %","  4.78 %","  4.08 %","  5.70 %","  2.73 %","  9.85 %","  2.88 %","","  2.15 %","  5.39 %","  3.58 %","","  7.00 %","  1.96 %"
"2020-08-19","  3.73 %","   .10 %","  6.67 %","  7.17 %","  2.79 %","  3.32 %","  5.23 %","","  2.61 %","  1.50 %","  1.59 %","  1.89 %","  4.29 %","  3.18 %","  5.07 %","  1.92 %","  1.12 %","  4.13 %","  4.97 %","  4.62 %","  5.21 %","  7.88 %","  6.84 %","   .67 %","  2.10 %",""," 12.37 %","  8.99 %","  4.30 %","","  7.08 %","  4.67 %"
"2020-08-20","  2.88 %"," 17.11 %","  5.84 %","   .90 %","  6.17 %","   .20 %","  5.39 %","  2.19 %","  4.47 %","  2.18 %","  1.46 %","  7.41 %","  2.99 %","  8.39 %","  8.74 %","  3.96 %","  6.30 %","  2.62 %","  5.32 %","  6.33 %","  3.80 %","  3.31 %","  6.58 %"," 14.05 %","  2.74 %","","  4.87 %","  4.11 %","  4.81 %","","  5.85 %","  2.90 %"
"2020-08-21","  5.07 %","  6.00 %","  4.02 %","  5.54 %","  4.84 %","  2.20 %","  4.39 %","  1.43 %","  2.63 %","  2.33 %","  1.03 %","  1.72 %","  3.36 %"," 11.37 %","  5.18 %","  4.90 %","  9.25 %","  1.53 %","  4.58 %","  6.59 %","  5.29 %","  7.74 %"," 15.19 %","  4.99 %","  1.00 %","","  3.89 %","  5.79 %","  4.65 %","","  7.45 %","  2.88 %"
"2020-08-22","  3.83 %","  4.46 %","  3.98 %"," 12.76 %","  3.99 %","  1.18 %","  5.23 %","","  9.48 %","  2.44 %","  1.21 %","  3.87 %","  4.88 %","  8.94 %","  5.53 %","  2.54 %","  5.90 %","   .50 %","  4.09 %","  3.43 %","  5.15 %"," 12.29 %","  6.23 %","  3.24 %","   .33 %","","  4.69 %","  5.22 %","  8.26 %","","  3.13 %","  1.55 %"
"2020-08-23","  3.37 %","  4.73 %","  4.19 %","  8.15 %","  4.59 %","  1.74 %","  3.05 %","  6.34 %","  5.19 %","  1.65 %","  1.69 %","  3.57 %","  4.69 %","  5.60 %","  3.43 %","  3.26 %","  3.86 %","  4.51 %","  5.37 %","  3.89 %","  5.01 %","  6.00 %","  9.28 %","  7.50 %","  3.62 %","","  6.41 %","  4.62 %","  5.47 %","","  8.68 %","  1.87 %"
"2020-08-24","   .16 %","  4.15 %","  3.08 %","  4.77 %","  3.15 %","   .57 %"," 11.05 %","  1.32 %","  1.07 %","   .11 %","  1.09 %","  3.83 %","  7.96 %","  2.47 %","  2.76 %","  1.85 %","  4.84 %","  2.05 %","  3.99 %","  7.13 %","  4.38 %","  7.36 %","  3.25 %","  4.24 %","   .63 %","","  3.32 %","  4.61 %","  5.19 %","","  5.19 %","  2.13 %"
"2020-08-25","  3.56 %","   .98 %","  4.38 %","  2.06 %","  2.68 %","  2.08 %","  4.17 %","  3.92 %","   .08 %","  2.26 %","  1.28 %","  7.30 %","  7.44 %","  1.81 %","  1.43 %","  5.08 %","  8.00 %","  1.88 %","  3.42 %","  6.40 %","  5.44 %","  6.02 %","  3.26 %","  4.50 %","  2.52 %","","  5.38 %","  5.46 %","  2.61 %","","   .19 %","  1.13 %"
"2020-08-26","  9.42 %","  5.26 %","  3.18 %","  7.05 %","  5.13 %","   .74 %","  5.79 %","  5.03 %","  5.45 %","  1.51 %","  1.17 %","  6.40 %","  5.52 %"," 10.99 %","  2.47 %","  2.09 %","  5.81 %","  4.87 %","  4.28 %","  3.14 %","  6.84 %","  3.81 %","  7.61 %","  7.15 %","  4.62 %","","  5.10 %","  4.27 %","  4.95 %","","   .57 %","  3.92 %"
"2020-08-27","  1.78 %","  6.51 %","  3.75 %"," 10.55 %","  3.51 %","   .92 %","  7.54 %","  9.58 %","  4.63 %","   .33 %","  1.05 %","  2.72 %","  5.33 %"," 10.01 %","  2.33 %","  2.89 %","  5.49 %","  3.95 %","  4.40 %","  2.98 %","  2.10 %","  7.06 %","  3.37 %","  2.97 %","  5.59 %","","  4.08 %","  4.32 %","  8.02 %","","  6.97 %","  2.47 %"
"2020-08-28","  7.52 %","  4.20 %","  2.64 %","  9.24 %","  2.11 %","  2.55 %","  5.26 %","  6.56 %","  4.50 %","  1.74 %","  1.02 %","  2.71 %","  2.53 %","  4.16 %","  3.45 %","  1.74 %","  3.01 %","  3.56 %","  5.57 %","  4.55 %","  4.02 %"," 10.14 %","  4.00 %","  4.13 %","  6.41 %","","  3.73 %"," 13.31 %","  5.22 %","","  4.75 %","   .64 %"
"2020-08-29","  1.37 %","  3.79 %","  2.31 %","  8.12 %","  3.08 %","  6.76 %","  4.37 %","  3.59 %","  6.63 %","   .71 %","   .98 %","  2.16 %","  2.33 %","  5.11 %","   .16 %","  1.24 %","  5.12 %","  2.92 %","  5.18 %","   .78 %","   .94 %","  4.16 %","  4.15 %","  4.37 %","  6.54 %","","  4.22 %"," 10.68 %","  2.44 %","","  6.39 %","  2.23 %"
"2020-08-30","  3.08 %","  2.00 %","  3.99 %","  6.38 %","  1.57 %","   .00 %","  4.37 %","   .99 %","  3.24 %","   .32 %","  1.24 %","  3.88 %","  1.04 %","  3.98 %","  3.25 %","  2.82 %","  2.78 %","  3.85 %","  4.42 %","  3.70 %","  2.18 %","  9.49 %","  3.69 %","  1.01 %","  1.72 %","","  3.54 %","  2.23 %","  3.86 %","","  6.95 %","  2.11 %"
"2020-08-31","  1.67 %","  2.35 %","  2.86 %","  3.97 %","  1.82 %","  1.50 %","  2.93 %","  1.47 %","  4.29 %","   .25 %","  1.08 %","  4.64 %","  2.79 %","  7.23 %","  4.96 %","   .78 %","  7.87 %","  4.69 %","  3.82 %","  3.78 %","  3.49 %","  2.14 %","  1.69 %","  3.14 %","  3.86 %","","  1.33 %","  1.13 %","  2.84 %","","  3.10 %","   .43 %"
"2020-09-01","  6.82 %","  1.31 %","  1.08 %","  2.84 %","  3.57 %","  1.48 %","  3.77 %","   .48 %","  8.11 %","  1.02 %","  1.16 %","  4.21 %","  2.24 %","  4.68 %","  6.15 %","  1.00 %","  7.30 %","  2.61 %","  3.97 %","  3.99 %","  1.35 %","  6.25 %","  4.24 %","  2.24 %"," 18.37 %","","  3.89 %","   .27 %","  2.94 %","","  3.15 %","  1.27 %"
"2020-09-02","  7.26 %","   .54 %","  5.19 %","  8.37 %","  3.19 %","  5.83 %","  4.65 %","   .00 %","  2.10 %","   .94 %","   .94 %","  3.11 %","  3.02 %","  4.55 %","  2.61 %","  1.44 %","  3.03 %","  5.18 %","  4.19 %","  2.48 %","   .54 %","  3.75 %","  4.86 %","  2.03 %","  9.63 %","","  5.97 %","   .52 %","  2.68 %","","  3.61 %","  1.34 %"
"2020-09-03","  4.21 %","  2.09 %","  2.90 %","  9.94 %","  6.61 %","  4.13 %","  4.11 %","  5.29 %","  3.12 %","   .31 %","   .59 %","  3.97 %","  3.18 %","  5.80 %","  1.86 %","  1.95 %","  4.38 %","  3.86 %","  3.98 %","  2.50 %","  2.27 %","  9.62 %","  3.88 %","  3.21 %","  8.78 %","","  4.07 %","  2.28 %","  2.28 %","","  6.70 %","  2.09 %"
"2020-09-04","  5.91 %","  2.26 %","   .22 %","  4.56 %","  4.60 %","  6.46 %","  4.10 %"," 10.50 %","   .97 %","   .62 %","   .53 %","  3.19 %","   .56 %","  2.53 %","  2.50 %","  1.17 %","  2.52 %","  4.97 %","  4.55 %","  2.18 %","   .69 %","  3.22 %","  6.90 %","  2.18 %","  6.59 %","","  5.86 %","  3.40 %","  2.62 %","","  8.29 %","  2.74 %"
"2020-09-05","  6.32 %","  1.90 %","  3.77 %","  9.95 %","  1.59 %","  9.24 %","  3.03 %","  1.65 %","  3.69 %","   .99 %","   .55 %","  3.98 %","  4.97 %","  5.81 %","  2.44 %","  1.63 %","  2.31 %","  1.95 %","  4.45 %","  2.31 %","  1.00 %","  7.59 %","  2.51 %","  1.04 %"," 15.15 %","","  1.44 %","  1.30 %","  2.65 %",""," 11.48 %","  1.18 %"
"2020-09-06","  6.38 %","  2.17 %","  2.85 %"," 13.08 %","  3.36 %","  3.66 %","  3.21 %","  2.85 %","  2.63 %","   .68 %","   .58 %","  3.02 %","  5.79 %"," 12.12 %","  3.67 %","  1.90 %","  4.85 %","  3.65 %","  3.87 %","  2.11 %","  1.47 %","  3.07 %","  5.78 %","  1.87 %"," 12.48 %","","  2.72 %","  1.94 %","  2.58 %",""," 11.03 %","   .71 %"
"2020-09-07","  9.86 %","  3.71 %","  2.42 %","  5.14 %","  2.25 %","  2.68 %","  3.72 %","  4.74 %","  3.72 %","   .47 %","   .49 %","  3.76 %","  6.19 %"," 11.20 %","  1.74 %","  1.04 %","  3.73 %","  2.77 %","  3.58 %","  2.12 %","  1.29 %","  2.56 %","  3.08 %","  1.69 %","  5.73 %","","  4.52 %","  2.88 %","  2.33 %","   .00 %"," 10.97 %","  1.98 %"
"2020-09-08","  2.84 %","  5.24 %","  2.07 %","  2.25 %","  2.64 %","  2.97 %","  3.50 %"," 10.19 %","  3.92 %","  1.77 %","   .37 %","  3.84 %","  3.64 %","  5.22 %","  2.38 %","  3.45 %","  3.68 %","  2.24 %","  2.41 %","  2.24 %","   .85 %","  4.24 %","  2.72 %","   .99 %"," 11.51 %","","  4.69 %","  3.77 %","  2.52 %"," 72.86 %","  9.04 %","  1.29 %"
"2020-09-09","  4.15 %","  7.38 %","  2.28 %","  2.50 %","  1.33 %","  6.68 %","  3.52 %","  8.22 %","  3.03 %","  1.08 %","   .38 %","  3.82 %","  2.76 %","  3.37 %","  2.27 %","  3.37 %","  4.85 %","  2.51 %","  2.71 %","  2.29 %","   .81 %","   .06 %","  8.00 %","  1.99 %"," 10.83 %","","  8.00 %","  1.45 %","  2.28 %"," 72.73 %","  9.60 %","  3.14 %"
"2020-09-10","  7.96 %","  7.59 %","  1.60 %","  4.48 %","  2.34 %","  4.43 %","  3.40 %","  5.70 %","  4.57 %","   .58 %","   .50 %","  4.26 %","  2.84 %","  2.28 %","  4.31 %","  2.19 %","  5.86 %","  3.15 %","  2.94 %","  2.93 %","   .72 %","  3.14 %","  7.65 %","  1.36 %","  8.77 %","","  6.35 %","  1.01 %","  2.94 %"," 27.27 %","  5.23 %","  1.90 %"
"2020-09-11","  8.93 %","  4.86 %","  4.44 %","  2.46 %","  3.12 %","  4.03 %","  2.97 %","  2.99 %","  3.76 %","   .81 %","   .47 %","  4.58 %","  2.22 %","  3.60 %","  3.24 %","  1.77 %","  4.89 %","  2.26 %","  2.52 %","  2.08 %","  1.78 %","  3.05 %","  8.59 %","  2.15 %","  8.65 %","","  5.02 %","  1.81 %","  2.50 %"," 38.72 %","  6.11 %","  1.67 %"
"2020-09-12","  6.83 %","  1.91 %","  2.58 %","  3.44 %","  1.81 %","  2.58 %","  3.00 %","  4.07 %","  2.79 %","   .42 %","   .30 %","  3.59 %","  2.43 %","  3.08 %","  3.79 %","  1.81 %","  5.31 %","  2.88 %","  3.31 %","  2.15 %","   .97 %","  1.07 %","  5.61 %","  1.94 %","  5.64 %","","  4.06 %","  1.27 %","  3.00 %"," 26.02 %","  4.56 %","  2.77 %"
"2020-09-13","  5.73 %","  5.21 %","  2.66 %","  3.50 %","  3.27 %","  5.91 %","  3.02 %","  4.19 %","  3.00 %","   .51 %","   .45 %","  3.74 %","  2.28 %","  6.91 %","  3.13 %","  3.12 %","  5.32 %","  2.72 %","  2.19 %","  2.15 %","  2.50 %","  2.69 %","  5.56 %","  1.61 %","  9.36 %","","  3.49 %","  1.64 %","  3.67 %"," 11.51 %","  5.51 %","   .64 %"
"2020-09-14","  5.68 %","  6.87 %","  2.51 %","  2.20 %","  1.36 %","  1.74 %","  2.82 %","  9.12 %","  3.15 %","   .44 %","   .23 %","  3.24 %","  2.72 %","  3.79 %","  4.70 %","  2.74 %","  4.63 %","  2.20 %","  2.92 %","  2.08 %","   .79 %","  2.37 %","  4.61 %","  1.13 %","  7.76 %","","  4.93 %","  2.23 %","  3.26 %"," 21.02 %","  4.25 %","  3.52 %"
"2020-09-15","  1.94 %","  1.27 %","  2.94 %","  3.55 %","  3.63 %","  2.70 %","  2.67 %","  3.69 %","  2.60 %","   .28 %","   .24 %","  3.07 %","  1.97 %","  3.50 %","  3.82 %","  3.25 %","  2.32 %","  1.91 %","  1.93 %","  1.96 %","  1.17 %","  2.38 %","  4.04 %","   .99 %","  5.59 %","","  3.73 %","  1.27 %","  3.08 %"," 27.41 %","  5.45 %","  1.47 %"
"2020-09-16","  7.17 %","  3.12 %","  2.75 %","  4.00 %","  1.35 %","  1.93 %","  2.72 %","  4.27 %","  2.34 %","  1.83 %","   .35 %","  5.90 %","  2.70 %","  4.49 %","  2.05 %","  2.42 %","  2.99 %","  2.92 %","  3.21 %","  1.68 %","  2.25 %","  2.22 %","  3.71 %","  1.21 %","  7.00 %","","  4.19 %","  1.27 %","  2.69 %"," 16.39 %","  3.86 %","   .65 %"
"2020-09-17","  3.83 %","  1.37 %","  2.51 %","  3.13 %","  1.74 %","  8.08 %","  2.76 %","  1.36 %","  3.13 %","   .71 %","   .39 %","  3.73 %","  2.43 %","  3.94 %","  5.20 %","  3.75 %","  3.02 %","  2.51 %","  2.30 %","  1.95 %","   .96 %","  2.44 %","  4.45 %","  2.39 %","  5.44 %","","  4.08 %","  1.03 %","  2.09 %"," 17.73 %","  6.48 %","  2.63 %"
