"date","Vermont/Addison","Vermont/Bennington","Vermont/Caledonia","Vermont/Chittenden","Vermont/Essex","Vermont/Franklin","Vermont/Grand Isle","Vermont/Lamoille","Vermont/Orange","Vermont/Orleans","Vermont/Rutland","Vermont/Unassigned","Vermont/Washington","Vermont/Windham","Vermont/Windsor"
"2020-08-02","   .28 %","   .48 %","   .00 %","   .14 %","   .00 %","   .35 %","   .00 %","   .00 %","  1.33 %","   .00 %","  1.19 %","  2.86 %","   .85 %","   .00 %","   .58 %"
"2020-08-03","   .28 %","   .24 %","   .00 %","   .17 %","   .00 %","   .35 %","   .00 %","   .00 %","  1.33 %","   .00 %","  1.19 %","  2.86 %","   .85 %","   .00 %","   .58 %"
"2020-08-04","   .56 %","   .24 %","   .00 %","   .22 %","   .00 %","   .35 %","   .00 %","   .00 %","  1.33 %","   .00 %","  1.19 %","  2.86 %","  1.26 %","   .00 %","   .29 %"
"2020-08-05","   .56 %","   .24 %","   .00 %","   .22 %","   .00 %","   .17 %","   .00 %","   .00 %"," -1.17 %","   .00 %","   .67 %","  2.86 %","  2.06 %","   .20 %","   .29 %"
"2020-08-06","   .28 %","   .24 %","   .00 %","   .17 %","   .00 %","   .17 %","   .00 %","   .48 %"," -2.50 %","   .00 %","  1.76 %","   .00 %","  2.44 %","   .20 %","   .28 %"
"2020-08-07","   .28 %","   .24 %","   .00 %","   .11 %","   .00 %","   .17 %","   .00 %","   .48 %"," -2.50 %","   .00 %","  2.17 %","   .00 %","  1.59 %","   .20 %","   .28 %"
"2020-08-08","   .28 %","   .24 %","   .00 %","   .19 %"," 10.00 %","   .17 %","   .00 %","   .48 %"," -2.50 %","   .00 %","  2.17 %","   .00 %","  1.59 %","   .20 %","   .28 %"
"2020-08-09","   .00 %","   .71 %","  1.54 %","   .17 %"," 10.00 %","   .17 %","   .00 %","   .48 %"," -2.50 %","   .00 %","  2.17 %","   .00 %","  1.18 %","   .20 %","   .28 %"
"2020-08-10","   .00 %","   .94 %","  1.54 %","   .19 %"," 10.00 %","   .00 %","   .00 %","   .48 %","   .00 %","   .00 %","  1.70 %","   .00 %","   .38 %","   .00 %","   .28 %"
"2020-08-11","   .27 %","  1.16 %","  1.54 %","   .33 %"," 10.00 %","   .00 %","   .00 %","   .00 %","  1.43 %","   .00 %","   .41 %","   .00 %","   .00 %","   .39 %","   .00 %"
"2020-08-12","   .27 %","  1.16 %","  1.54 %","   .30 %"," 10.00 %","   .00 %","   .00 %","   .00 %","  1.43 %","   .00 %","   .20 %","   .00 %","  1.51 %","   .39 %","   .28 %"
"2020-08-13","   .27 %","  1.38 %","  1.54 %","   .27 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.76 %","   .00 %","   .40 %","   .00 %","  1.51 %","   .39 %","   .28 %"
"2020-08-14","   .27 %","  1.13 %","   .00 %","   .54 %","   .00 %","   .34 %","   .00 %","   .00 %","  2.76 %","  1.43 %","   .40 %","   .00 %","  1.51 %","   .58 %","   .55 %"
"2020-08-15","   .54 %","   .90 %","   .71 %","   .60 %","   .00 %","   .34 %","   .00 %","   .00 %","  4.01 %","  1.43 %","   .20 %","   .00 %","  1.86 %","   .58 %","   .82 %"
"2020-08-16","   .54 %","   .44 %","   .71 %","   .57 %","   .00 %","   .51 %","   .00 %","   .00 %","  2.58 %","  1.43 %","   .40 %","   .00 %","  1.86 %","   .19 %","   .82 %"
"2020-08-17","   .54 %","   .44 %","   .71 %","   .75 %","   .00 %","   .51 %","   .00 %","   .93 %","  3.76 %","  1.43 %","   .20 %","   .00 %","   .35 %","   .57 %","   .54 %"
"2020-08-18","   .54 %","   .22 %","   .71 %","   .67 %","   .00 %","   .51 %","   .00 %","   .93 %","  2.43 %","  1.43 %","   .20 %","   .00 %","   .35 %","   .95 %","   .54 %"
"2020-08-19","   .54 %","   .00 %","   .71 %","   .40 %","   .00 %","   .33 %","   .00 %","   .93 %","  2.43 %","   .00 %","   .20 %","   .00 %","   .70 %","   .75 %","   .27 %"
"2020-08-20","   .27 %","   .00 %","   .69 %","   .37 %","   .00 %","   .33 %","   .00 %","   .93 %","  2.29 %","   .00 %","   .20 %","   .00 %","   .34 %","   .75 %","   .00 %"
"2020-08-21","   .00 %","   .00 %","   .69 %","   .26 %","   .00 %","   .17 %","   .00 %","   .93 %","  3.34 %","   .00 %","   .39 %","   .00 %","   .34 %","  1.12 %","   .00 %"
"2020-08-22","   .26 %","   .65 %","   .69 %","   .18 %","   .00 %","   .17 %","   .00 %","   .00 %","  2.16 %","   .00 %","   .39 %","   .00 %","   .68 %","  1.28 %","   .00 %"
"2020-08-23","   .26 %","   .86 %","   .69 %","   .26 %","   .00 %","   .17 %","   .00 %","   .00 %","  2.16 %","   .00 %","   .20 %","   .00 %","   .68 %","   .91 %","   .00 %"
"2020-08-24","   .26 %","   .86 %","   .69 %","   .29 %","   .00 %","   .16 %","   .00 %","   .00 %","  2.16 %","   .00 %","   .58 %","   .00 %","   .67 %","  1.43 %","   .00 %"
