"date","New Hampshire/Belknap","New Hampshire/Carroll","New Hampshire/Cheshire","New Hampshire/Coos","New Hampshire/Grafton","New Hampshire/Hillsborough","New Hampshire/Merrimack","New Hampshire/Nashua","New Hampshire/Rockingham","New Hampshire/Strafford","New Hampshire/Sullivan","New Hampshire/Unassigned"
"2020-06-17","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.27 %","   .00 %","","   .51 %","   .00 %","   .00 %","   .00 %"
"2020-06-18","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.06 %","   .00 %","","   .51 %","   .00 %","   .00 %","   .00 %"
"2020-06-19","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.24 %","   .00 %","","  1.00 %","   .00 %","   .00 %","   .00 %"
"2020-06-20","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.42 %","   .00 %","","  1.00 %","   .00 %","   .00 %","   .00 %"
"2020-06-21","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.03 %","   .00 %","","   .49 %","   .00 %","   .00 %","   .00 %"
"2020-06-22","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .65 %","   .00 %","","   .49 %","   .00 %","   .00 %","   .00 %"
"2020-06-23","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .92 %","   .00 %","","   .49 %","   .00 %","   .00 %","   .00 %"
"2020-06-24","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .73 %","   .00 %","","   .48 %","   .00 %","   .00 %","   .00 %"
"2020-06-25","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.25 %","   .00 %","","   .95 %","   .00 %","   .00 %","   .00 %"
"2020-06-26","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.85 %","   .00 %","","  1.18 %","   .00 %","   .00 %","   .00 %"
"2020-06-27","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.93 %","   .00 %","","  1.41 %","   .00 %","   .00 %","   .00 %"
"2020-06-28","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.57 %","   .00 %","","  1.41 %","   .00 %","   .00 %","   .00 %"
"2020-06-29","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.39 %","   .00 %","","   .93 %","   .00 %","   .00 %","   .00 %"
"2020-06-30","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.01 %","   .00 %","","   .46 %","   .00 %","   .00 %","   .00 %"
"2020-07-01","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .58 %","   .00 %","","   .23 %","   .00 %","   .00 %","   .00 %"
"2020-07-02","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .65 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-03","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .73 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-04","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .89 %","   .00 %","","   .22 %","   .00 %","   .00 %","   .00 %"
"2020-07-05"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .56 %","   .00 %","","   .45 %","   .00 %","   .00 %","   .00 %"
"2020-07-06"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .40 %","   .00 %","","   .67 %","   .00 %","   .00 %","   .00 %"
"2020-07-07"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .32 %","  1.11 %","","   .67 %","   .00 %","   .00 %","   .00 %"
"2020-07-08"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .40 %","  1.11 %","","   .67 %","   .00 %","   .00 %","   .00 %"
"2020-07-09"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .31 %","  1.11 %","","   .44 %","   .00 %","   .00 %","   .00 %"
"2020-07-10"," 10.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .47 %","  1.11 %","","   .22 %","   .00 %","   .00 %","   .00 %"
"2020-07-11"," 10.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .55 %","  1.11 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-12"," 10.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .47 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-13"," 10.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .31 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-14"," 10.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .31 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-15","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .31 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-16","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .23 %","  1.05 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-17","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .23 %","  1.05 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-18","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .31 %","  1.05 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-19","  6.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .31 %","  1.05 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-20","  6.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .15 %","  1.05 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-21","  6.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .30 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-22","  6.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .30 %","   .00 %","","   .22 %","   .00 %","   .00 %","   .00 %"
"2020-07-23","  6.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .45 %","   .00 %","","   .22 %","   .00 %","   .00 %","   .00 %"
"2020-07-24","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .45 %","   .00 %","","   .43 %","   .00 %","   .00 %","   .00 %"
"2020-07-25","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .52 %","  1.00 %","","   .43 %","   .00 %","   .00 %","   .00 %"
"2020-07-26","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .37 %","  1.00 %","","   .43 %","   .00 %","   .00 %","   .00 %"
"2020-07-27","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .37 %","  1.00 %","","   .22 %","   .00 %","   .00 %","   .00 %"
"2020-07-28","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .15 %","  1.00 %","","   .22 %","   .00 %","   .00 %","   .00 %"
