"date","Madhya Pradesh/Agar Malwa","Madhya Pradesh/Alirajpur","Madhya Pradesh/Anuppur","Madhya Pradesh/Ashoknagar","Madhya Pradesh/Balaghat","Madhya Pradesh/Barwani","Madhya Pradesh/Betul","Madhya Pradesh/Bhind","Madhya Pradesh/Bhopal","Madhya Pradesh/Burhanpur","Madhya Pradesh/Chhatarpur","Madhya Pradesh/Chhindwara","Madhya Pradesh/Damoh","Madhya Pradesh/Datia","Madhya Pradesh/Dewas","Madhya Pradesh/Dhar","Madhya Pradesh/Dindori","Madhya Pradesh/Guna","Madhya Pradesh/Gwalior","Madhya Pradesh/Harda","Madhya Pradesh/Hoshangabad","Madhya Pradesh/Indore","Madhya Pradesh/Jabalpur","Madhya Pradesh/Jhabua","Madhya Pradesh/Katni","Madhya Pradesh/Khandwa","Madhya Pradesh/Khargone","Madhya Pradesh/Mandla","Madhya Pradesh/Mandsaur","Madhya Pradesh/Morena","Madhya Pradesh/Narsinghpur","Madhya Pradesh/Neemuch","Madhya Pradesh/Niwari","Madhya Pradesh/Other Region","Madhya Pradesh/Panna","Madhya Pradesh/Raisen","Madhya Pradesh/Rajgarh","Madhya Pradesh/Ratlam","Madhya Pradesh/Rewa","Madhya Pradesh/Sagar","Madhya Pradesh/Satna","Madhya Pradesh/Sehore","Madhya Pradesh/Seoni","Madhya Pradesh/Shahdol","Madhya Pradesh/Shajapur","Madhya Pradesh/Sheopur","Madhya Pradesh/Shivpuri","Madhya Pradesh/Sidhi","Madhya Pradesh/Singrauli","Madhya Pradesh/Tikamgarh","Madhya Pradesh/Ujjain","Madhya Pradesh/Umaria","Madhya Pradesh/Vidisha","Madhya Pradesh/bhind","Madhya Pradesh/bhopal","Madhya Pradesh/dewas","Madhya Pradesh/dhar","Madhya Pradesh/khargone","Madhya Pradesh/sheopur","Madhya Pradesh/ujjain","Madhya Pradesh/vidisha"
"2020-05-05","","","-50.00 %","","","","","","-74.19 %","","","","","",""," ##.## %","","","","","","   .00 %"," ##.## %","","","   .00 %","   .00 %","","","","","","","",""," ##.## %","","","","","","","","","","","","","","   .00 %"," 80.00 %","","","","","","","","","",""
"2020-05-06","   .00 %","","","","","","",""," ##.## %","-75.00 %","","","","","   .00 %","-95.00 %","",""," ##.## %","","   .00 %","-37.21 %","-62.50 %","","","-50.00 %","",""," ##.## %","","","   .00 %","","-##.## %","","","","   .00 %","","   .00 %","","","","","   .00 %","","   .00 %","","","","","","","","","","","","","",""
"2020-05-07","","","","","","","",""," 38.24 %","","","","","","","   .00 %","",""," ##.## %","","","-33.33 %"," ##.## %","   .00 %","","","   .00 %",""," ##.## %"," ##.## %","","","","","","   .00 %","","","","","","","","","","","","","",""," -5.56 %","","","","","","","","","",""
"2020-05-08","","","","","","","","","-42.55 %","   .00 %","","","","","   .00 %","   .00 %","","   .00 %","","","   .00 %"," 55.56 %","-83.33 %","",""," ##.## %","","","-##.## %","","","-75.00 %","","","","","","-25.00 %","","","","   .00 %","","","","","","","",""," 11.76 %","","","","","","","","","",""
"2020-05-09","","","","","","","","   .00 %"," -7.41 %"," 25.00 %","","","",""," ##.## %","   .00 %","","","   .00 %","","   .00 %"," 89.29 %"," ##.## %","",""," ##.## %","   .00 %","","","",""," ##.## %","","","","","","","","   .00 %","   .00 %","","","","","","","","","","-63.16 %","","","","","","","","","",""
"2020-05-10","","","","","","   .00 %","","   .00 %"," 56.00 %"," 60.00 %","","","",""," 75.00 %","","   .00 %","","   .00 %","","   .00 %"," 47.17 %"," 33.33 %","","","","","","","","","-60.00 %","","","","","","","","","   .00 %","","","","","","","","",""," 42.86 %","","","","","","","","","",""
"2020-05-11","","","","   .00 %","","",""," ##.## %","-20.51 %","-37.50 %","","","","","-28.57 %","   .00 %","","","-20.00 %","",""," -1.28 %"," ##.## %","   .00 %","","-25.00 %"," ##.## %","   .00 %","   .00 %","",""," ##.## %","","","","   .00 %","","","-50.00 %"," ##.## %","   .00 %","   .00 %","   .00 %","","","","","","","","","","","","","","","","","",""
"2020-05-12","","","","","","   .00 %",""," ##.## %"," -3.23 %","","","","","","   .00 %","   .00 %","","","-25.00 %","","   .00 %","  5.19 %","-60.00 %","",""," ##.## %","-62.50 %","","   .00 %","-40.00 %","","-53.33 %","","","","   .00 %","","-66.67 %","","","   .00 %","","","","","","","   .00 %","","","   .00 %","","","","","","","","","",""
"2020-05-13","","","","","","   .00 %","","-75.00 %"," 80.00 %","   .00 %","","","","","-40.00 %","-57.14 %","","","-33.33 %","","   .00 %"," 12.35 %"," ##.## %","","","-95.00 %","   .00 %","","-33.33 %","","","-42.86 %","","","","",""," ##.## %","",""," ##.## %"," ##.## %","","","","","","","","","-81.48 %","","","","","","","","","",""
"2020-05-14","","","","","","","","   .00 %","-22.22 %","   .00 %","","","","","-33.33 %","","","","","","   .00 %"," 43.96 %","   .00 %"," ##.## %","","   .00 %","-33.33 %","","-50.00 %","",""," 75.00 %","","","","   .00 %","","","   .00 %","   .00 %","","","","","","",""," ##.## %","","   .00 %","   .00 %","","","","","","","","","",""
