"date","Kerala/Alappuzha","Kerala/Ernakulam","Kerala/Idukki","Kerala/KAsaragod","Kerala/Kannur","Kerala/Kasaragod","Kerala/Kollam","Kerala/Kottayam","Kerala/Kozhikode","Kerala/Malappuram","Kerala/Other State","Kerala/Palakkad","Kerala/Pathanamthitta","Kerala/Thiruvananthapuram","Kerala/Thrissur","Kerala/Wayanad","Kerala/Will add when bulletin is released","Kerala/idukki"
"2020-09-17","18","50","3","","37","38","35","3","48","41","","18","3","160","31","5","",""
"2020-09-18","18","51","3","","37","39","36","3","48","44","","19","3","164","32","5","",""
"2020-09-19","18","53","3","","37","41","39","3","48","44","","21","3","169","36","5","",""
"2020-09-20","18","54","3","","37","42","40","8","48","47","","22","3","171","38","5","",""
"2020-09-21","18","54","3","","40","42","40","8","48","55","","25","3","175","38","5","",""
"2020-09-22","18","55","3","","41","42","42","8","48","57","","26","3","186","39","5","",""
"2020-09-23","18","55","3","","41","42","45","8","60","59","","26","3","189","39","5","",""
"2020-09-24","25","56","3","","41","42","45","8","61","59","","26","3","200","40","5","",""
"2020-09-25","29","56","3","","41","42","48","12","62","60","","26","4","205","43","5","",""
"2020-09-26","33","59","3","","41","48","48","12","62","63","","26","5","207","45","5","",""
"2020-09-27","33","59","3","","41","48","48","12","62","63","","26","5","207","45","5","1",""
"2020-09-28","35","59","3","","41","52","48","15","67","66","","26","5","210","45","5","",""
"2020-09-29","35","59","3","","46","52","51","17","67","70","","28","5","213","48","5","",""
"2020-09-30","38","60","3","","46","53","51","18","67","72","","36","6","219","48","5","",""
"2020-10-01","39","67","3","","46","56","53","18","67","72","","36","6","229","54","5","",""
"2020-10-02","42","69","3","","46","56","59","22","68","72","","36","6","233","54","5","",""
"2020-10-03","42","69","4","","52","57","59","22","73","72","","36","6","241","55","5","",""
"2020-10-04","46","71","4","","53","57","60","22","73","78","","37","6","249","55","5","",""
"2020-10-05","50","76","4","","56","57","61","24","74","80","","37","6","251","58","5","",""
"2020-10-06","51","76","4","","58","58","66","27","74","84","","37","6","260","58","5","",""
"2020-10-07","52","76","5","","58","58","67","27","74","89","","37","6","274","58","5","",""
"2020-10-08","52","77","5","","58","60","70","27","82","89","","37","6","284","58","5","",""
"2020-10-09","54","81","5","","58","61","74","28","83","93","","37","6","291","59","5","",""
"2020-10-10","54","89","5","","60","61","76","28","83","94","","38","6","300","59","5","",""
"2020-10-11","58","89","5","","62","63","79","30","85","99","","38","6","302","62","5","",""
"2020-10-12","60","92","6","","67","63","80","30","89","99","","38","6","308","62","5","",""
"2020-10-13","64","96","6","","68","64","80","30","97","102","","38","6","308","62","5","",""
"2020-10-14","66","98","6","","69","64","81","30","99","108","","38","6","314","62","5","",""
"2020-10-15","68","101","6","","69","64","83","30","101","112","","38","6","323","63","5","",""
"2020-10-16","68","101","7","","78","64","83","30","104","112","","38","7","328","68","5","",""
"2020-10-17","70","102","7","","79","64","86","33","106","116","","38","7","335","71","5","",""
"2020-10-18","71","106","7","","79","64","86","33","108","119","","44","7","339","73","5","",""
"2020-10-19","71","111","7","","80","65","88","33","112","122","","44","7","342","75","5","",""
"2020-10-20","73","113","7","","84","65","88","33","112","127","","44","8","347","80","5","",""
"2020-10-21","74","116","7","","87","65","93","33","112","127","","46","9","352","86","5","",""
"2020-10-22","75","121","7","","87","65","95","34","114","132","","46","9","357","88","5","",""
"2020-10-23","82","123","7","","89","65","97","39","117","132","","46","9","361","89","5","",""
"2020-10-24","83","126","7","","93","66","100","41","119","133","","46","9","366","92","5","",""
"2020-10-25","88","131","7","","94","66","100","42","119","139","","46","10","373","92","5","",""
